locus	length
NZ_CP017437	92565
NC_019240	8347
NZ_CP017055	195378
NC_019295	2886
NG_048272	2126
NZ_CP010534	41915
NG_050176	861
NC_019068	1460
NZ_CP016330	38640
NC_020988	7493
NZ_CP004335	19361
NZ_AP014706	462889
NZ_CP015722	8835
NC_021977	11105
NC_014737	17535
NG_047862	1415
NC_009466	59182
NZ_CP004394	155183
NC_017629	1564
NZ_CP015809	53343
NC_015902	53876
NC_019005	30641
NC_008357	89147
NC_023074	77627
NZ_CP019033	29166
NC_011758	380207
NG_050069	946
NC_001520	4104
NC_018223	62162
NZ_CP010326	329383
NC_006422	28930
NZ_CP018275	7497
NC_017630	114550
NZ_LN554854	3856
NZ_CP009908	10600
NC_019038	4300
NZ_CP009021	64920
NC_019888	83712
NC_017407	30096
NZ_CP006743	181793
NG_049827	825
NC_010042	5674
NC_025193	4218
NZ_CP018773	33305
NZ_CP018955	101186
NC_025086	5109
NZ_CP014082	1317
NC_019963	275821
NZ_CP005819	1378
NZ_CP013577	414617
NC_021501	110781
NC_022092	39678
NZ_CP004273	6585
NZ_CP013052	405481
NC_006996	1668
NC_021665	9957
NC_016974	178277
NC_017499	242962
NZ_CP014882	17848
NZ_CP011519	126976
NG_048259	2020
NC_012256	8692
NC_017023	3847
NZ_CP004178	1841
NZ_CP013541	1144409
NZ_AP014681	81630
NC_022333	165311
NC_010261	8197
NC_005863	202301
NC_002810	5658
NC_019332	90042
NZ_CP015714	8001
NC_015582	48714
NZ_CP010207	138950
NZ_CP013570	352133
NZ_CP014447	3567
NC_019535	3449
NG_050280	1061
NC_017404	24354
NC_008567	32368
NC_010427	2907
NC_004987	1851
NG_047470	1031
NG_049577	1001
NC_019969	4175
NC_003385	106516
NZ_CP014930	28402
NC_017345	24491
NZ_CP018354	45742
NC_019269	5574
NC_022522	167779
NC_001370	2140
NC_019013	50572
NC_015908	30547
NC_017072	2614
NZ_CP017030	50689
NC_023071	27319
NC_021979	3851
NC_002498	5643
NC_013779	18219
NC_004253	3661
NC_017508	42349
NC_019150	27069
NC_011367	27455
NZ_CP009965	4983
NC_013310	1290
NC_013954	2590
NZ_CP014285	55372
NC_019987	3174
NC_013350	2241
NC_014105	42004
NZ_CP013976	115926
NZ_CP012031	65435
NC_009596	96210
NC_017784	10110
NZ_CP017386	155781
NZ_CP018952	132345
NZ_CP018358	4374
NZ_CP009266	380781
NC_019138	37697
NZ_CP013638	408857
NZ_CP016902	4066
NZ_CP010184	200925
NG_049119	864
NC_025031	4780
NC_019109	133216
NC_013211	182940
NZ_CP019313	84456
NZ_CP019173	81409
NZ_CP007671	20409
NZ_CP007645	742914
NG_047808	894
NZ_HG977523	63720
NZ_CP014320	130603
NC_018977	4369
NC_021240	10672
NZ_CP004255	1852
NZ_CP015094	64192
NZ_CP009900	94747
NC_017241	57919
NC_013655	122345
NG_052252	963
NC_020957	7415
NC_013206	91726
NT_187163	210605
NZ_CP014743	119543
NC_005907	4967
NZ_CP015791	27809
NZ_CP017932	76186
NC_014502	291993
NZ_CP009033	58317
NC_015173	37683
NC_017722	66681
NC_009426	184462
NZ_CP013221	112176
NC_019275	4599
NZ_CP005860	1007
NC_018958	3125
NZ_CP014823	4685
NC_013667	14288
NZ_CP012663	19278
NZ_KU499859	5276
NZ_CP015942	33359
NZ_CP015071	69471
NZ_CP014888	19886
NZ_CP016311	14572
NC_004854	80610
NC_010243	4447
NC_020183	6176
NC_012153	18338
NC_015430	18019
NC_017370	2637
NZ_CP008718	4073
NZ_CP008790	193725
NC_019536	3601
NZ_CP012887	25131
NC_004604	53865
NZ_CP013172	2448
NC_012175	53783
NC_022602	47067
NC_011247	163884
NZ_CP007209	30062
NC_016000	18779
NZ_CP018453	4075
NZ_CP018276	5655
NC_025019	65549
NZ_CP010321	181741
NZ_CP016527	3046
NC_014009	5398
NZ_CP006802	6141
NC_010066	20413
NC_010616	2916
NZ_CP013631	305839
NZ_CP011651	1916
NC_022996	124908
NZ_CP018267	25591
NZ_CP012607	50765
NC_017578	71173
NC_017804	61166
NC_017264	9600
NC_006975	3634
NZ_AP014801	111306
NC_017237	33903
NC_012586	2430033
NZ_CP018238	91420
NC_009432	36198
NC_023072	78740
NZ_CP007552	131983
NC_022993	3279
NZ_CP017439	92596
NC_004946	11640
NZ_CP005863	2674
NC_021574	1788
NZ_CP016455	63550
NC_013345	3961
NG_048153	1400
NC_017818	25137
NC_010902	2221
NC_022994	1540
NC_010284	4441
NC_009673	7135
NZ_AP014882	187193
NZ_CP009975	583900
NC_025109	86335
NC_014619	3250
NC_012515	30597
NC_016646	441112
NG_049002	876
NZ_CP019729	20440
NC_010877	4815
NC_019906	80360
NG_050311	1106
NC_025119	5414
NZ_CP011595	113105
NC_019244	3944
NC_007105	53501
NC_015261	21231
NZ_CP009698	94767
NZ_CP014345	81079
NC_010421	34595
NC_010406	3837
NC_025151	64215
NZ_CP014311	184640
NC_017105	182940
NZ_CP005756	19384
NC_006323	137036
NZ_CP012956	47457
NZ_CP009711	68525
NZ_CP018669	88688
NZ_CP009673	18778
NZ_CP013057	84491
NZ_CP016003	261228
NC_015162	195800
NC_009352	18536
NZ_CP016533	91980
NZ_CP012857	40338
NC_013728	111481
NC_017738	12465
NC_012417	3125
NZ_CP004314	95498
NC_016858	93842
NC_015471	54159
NZ_CP015707	3500
NZ_CP018771	19788
NZ_CP010815	94803
NC_013965	6359
NC_017134	191443
NC_019234	66845
NC_020242	8241
NZ_CP017026	180543
NZ_CP015781	26861
NZ_CP016009	8556
NZ_CP005961	410512
NC_002131	32601
NC_009789	6199
NC_017783	10942
NZ_CP018700	63588
NZ_CP010190	5283
NC_012239	21708
NC_008764	6459
NC_001277	19515
NZ_CP007135	98067
NC_020451	26631
NC_006578	77112
NC_019732	7645
NZ_CP009864	62589
NC_011854	38262
NZ_CP014970	94014
NG_052288	533
NC_017426	31085
NZ_LT632321	161069
NZ_CP018422	69069
NZ_CP005807	1983
NG_052861	1826
NC_010510	586164
NT_187159	5600
NZ_CP013969	6045
NC_025148	12391
NZ_CP009879	178563
NC_013329	38045
NZ_CP015486	15198
NZ_CP017930	114139
NZ_CP003954	95987
NC_019111	91369
NG_047917	686
NZ_CP018272	9824
NZ_CP015223	9149
NZ_CP010198	6037
NZ_CP005806	2184
NC_013377	26236
NG_049341	1013
NZ_CP013958	28723
NZ_CP016585	99473
NC_017396	30019
NC_013856	723779
NZ_CP015790	23812
NC_019059	1546
NZ_CP013017	59141
NZ_CP010204	3904
NC_010600	65158
NC_006978	19203
NC_018696	785419
NZ_CP006779	137017
NC_017409	22827
NZ_CP017027	4454
NZ_CP006901	257337
NC_010476	4809
NZ_CP018240	94170
NC_010070	167422
NZ_CP009851	51254
NZ_CP003994	3223
NC_019133	5931
NZ_CP013521	755598
NC_023320	2656
NZ_CP017302	7616
NC_021361	56977
NG_050948	833
NZ_CP005804	2322
NC_011641	68018
NC_010686	2412
NC_020563	33183
NZ_CP006739	24391
NZ_CP008954	92539
NC_011223	8754
NC_002757	5640
NG_050555	857
NZ_CP010352	3978
NZ_CP016296	110968
NG_047897	605
NZ_CP015522	74167
NC_015313	15063
NC_011260	52772
NC_011262	31021
NZ_CP011480	154071
NC_011855	27006
NZ_CP015083	203183
NZ_CP005901	2097
NC_019557	8259
NZ_CP013354	8060
NC_008505	74750
NZ_CP018449	67101
NC_013940	308544
NC_002140	4975
NZ_CP016900	9416
NZ_CP004331	23777
NZ_CP005783	4429
NC_011655	270082
NZ_CP004334	23526
NC_019067	38611
NZ_CP014707	101118
NC_010000	49148
NZ_CP012118	27044
NZ_CP015743	132822
NZ_CP012289	21309
NC_005920	4833
NZ_CP005858	1125
NZ_AP011953	11015
NG_051437	1742
NZ_CP005753	26940
NT_187166	10193
NC_021976	194780
NZ_CP012121	61537
NZ_CP015441	213959
NZ_CP018834	13141
NC_019394	303282
NC_005231	44343
NZ_CP017076	1756808
NC_009347	2101
NZ_CP011851	33516
NC_006425	35422
NZ_CP005912	2279
NC_017809	5850
NC_000914	536165
NZ_CP018717	63589
NZ_CP017447	92559
NC_020979	7502
NC_025162	3489
NC_001272	6578
NZ_CP018687	246757
NC_024959	13940
NZ_CP005889	1641
NC_002143	15398
NC_021832	11138
NC_023328	6822
NC_019315	5777
NC_023280	6078
NC_001888	4481
NC_010938	3350
NZ_CP018125	61085
NZ_CP012912	11393
NZ_AP014818	17905
NC_023912	1917
NZ_CP019084	42519
NC_010419	35380
NZ_CP010879	5167
NC_017428	30314
NZ_CP009572	163311
NG_048956	876
NZ_CP014898	2095
NT_187169	3020
NC_019336	86904
NZ_CP005759	17224
NZ_LN831788	86370
NC_013968	85092
NZ_CP014922	13497
NG_048630	1146
NC_006824	223670
NZ_CP012658	5603
NZ_CP007137	64562
NZ_CP010572	7471
NC_013284	22448
NZ_CP013272	5818
NZ_CP004151	7553
NC_019344	81793
NZ_CP017855	5257
NC_012255	30162
NG_048104	1037
NG_048157	1400
NC_020412	8338
NZ_LN999836	3244
NZ_CP014879	12076
NC_019311	6078
NC_019359	10879
NC_004992	2926
NZ_CP011006	3716
NC_011887	458070
NG_048274	2141
NC_020816	18869
NC_010734	13415
NZ_CP018079	15811
NZ_CP004318	13106
NZ_CP012397	116939
NZ_CP016314	10299
NZ_LN868945	147787
NC_023284	432159
NG_051873	992
NG_049393	1001
NC_013542	70057
NC_022740	46253
NC_016022	4776
NC_001766	8737
NG_050583	1127
NC_020298	2345
NZ_CP009638	61862
NC_019272	7502
NZ_CP005727	8072
NT_187150	9999
NZ_CP008845	3514
NZ_CP018468	201433
NZ_CP013803	51575
NC_011664	88311
NC_016035	3424
NC_004978	4960
NZ_CP016423	7506
NG_052314	992
NZ_CP016575	37697
NC_017194	5838
NZ_CP009540	181624
NC_007096	11115
NC_011368	1266105
NC_025058	11957
NC_015335	10090
NZ_CP004292	2475
NZ_CP011287	69433
NZ_CP014509	62715
NC_002775	7617
NC_017132	3204
NC_017777	4807
NZ_CP006660	2014
NZ_CP014325	89872
NZ_CP010365	70092
NC_025044	2683
NZ_CP018753	2123
NZ_CP011014	108311
NZ_CP004408	2062
NC_022243	4153
NC_010937	47263
NC_009670	101491
NC_019303	7209
NG_050236	861
NZ_CP009839	9612
NC_011366	501946
NC_015060	115221
NZ_CP004171	1486
NC_015169	314518
NC_004980	2846
NC_013540	7975
NC_011414	14787
NC_010643	39792
NC_002133	5750
NZ_CP005891	1152
NC_010853	6823
NZ_CP012644	235438
NC_016772	47972
NC_012111	30884
NZ_CP008720	1544
NC_019340	6868
NG_048277	2141
NC_015570	7132
NZ_CP018711	61009
NZ_LN999830	8138
NZ_CP004229	6378
NZ_CP009255	3048
NC_022589	113295
NC_014159	99806
NZ_CP011613	5410
NC_007764	250948
NC_001373	6720
NC_001476	12887
NC_007768	2361
NZ_CP017255	69748
NZ_CP009579	141804
NZ_CP005883	1089
NC_014356	9042
NC_007167	5550
NG_048888	1349
NZ_KT072713	44560
NZ_CP007679	33093
NZ_CP015359	17175
NZ_CP009634	4898
NZ_CP016838	341373
NZ_CP015792	32294
NC_020524	110967
NC_014975	8383
NZ_CP014208	331058
NC_024963	2458
NZ_CP011358	82300
NC_019264	60421
NG_048099	1040
NZ_CP013639	409635
NG_048710	1142
NC_015910	30767
NC_007941	114230
NC_013938	18344
NC_008342	55635
NC_021913	330369
NZ_CP013640	12463
NZ_CP012860	858818
NZ_CP008933	304526
NZ_CP011944	3372
NZ_CP018233	255060
NZ_CP009558	56577
NC_019084	3082
NC_019752	55337
NC_008504	9554
NZ_CP012636	149683
NZ_CP018958	53198
NC_005007	4679
NC_013502	125133
NC_008388	16575
NZ_CP014887	22403
NZ_CP013978	68882
NG_050312	1130
NZ_CP014763	284894
NC_009779	31208
NZ_CP012703	34474
NZ_CP014519	81963
NZ_CP018690	63589
NZ_CP011351	80704
NG_050162	1061
NZ_CP016892	173592
NC_018745	34141
NC_015382	276215
NC_025166	113639
NZ_CP006472	46366
NC_010502	27836
NC_016634	19716
NC_015727	1499175
NZ_CP012835	62884
NC_019756	4488
NC_010539	39620
NZ_CP010575	72864
NC_019379	9112
NZ_CP010396	71572
NC_021664	53081
NG_048467	1028
NZ_CP010886	83481
NC_015742	183612
NZ_CP012683	112639
NZ_CP012926	37697
NZ_CP014146	5926
NC_018651	109274
NZ_CP011544	42805
NC_021576	49770
NC_002107	3937
NC_017109	1815
NZ_CP013258	4520
NC_013285	53842
NZ_CP005721	2618
NZ_CP015803	23759
NG_050403	770
NC_011862	29501
NC_008385	43581
NC_017483	44098
NZ_CP009352	3978
NZ_CP012651	49656
NZ_CP005823	1162
NG_051911	533
NC_014642	247895
NC_001760	3130
NC_014383	92970
NC_004770	3538
NZ_CP010224	6039
NC_018996	5153
NC_001855	36849
NC_013207	87298
NC_017260	4884
NZ_CP015745	127666
NC_025008	11887
NZ_CP007735	89770
NZ_CP004296	1257
NC_015149	85603
NC_017054	93877
NZ_CP015530	224533
NZ_CP010872	156079
NC_011870	23638
NZ_CP015919	65387
NZ_CP015365	13478
NZ_CP010860	143401
NC_014534	473846
NC_006569	491611
NZ_AP014820	5106
NC_010488	130440
NC_019083	34945
NC_022995	582142
NC_017813	14016
NZ_CP015165	49380
NG_048766	1146
NZ_CP005801	2446
NZ_CP018284	3130
NC_019094	79478
NC_023914	54035
NC_021657	2908
NZ_CP005796	2794
NC_009007	114045
NC_011407	6929
NZ_CP018465	31328
NC_020953	7500
NG_047817	935
NZ_CP013929	287708
NZ_CP014767	116138
NC_010077	34986
NZ_CP003952	82420
NC_015699	7047
NC_019113	10047
NT_187148	248150
NC_004533	4603
NZ_CP006257	52548
NZ_CP017451	526446
NZ_CP010887	7642
NC_003026	3373
NZ_CP007455	22990
NC_007414	92077
NZ_LN890525	84987
NC_016585	1040425
NZ_CP008709	1967
NC_006857	1447
NZ_CP014895	23187
NZ_CP007515	190889
NZ_CP014478	146597
NZ_CP009566	94725
NG_050462	857
NZ_CP018263	85180
NZ_CP010416	10435
NZ_CP016275	96210
NC_014620	13908
NC_017210	6880
NC_003456	4245
NZ_CP013763	120730
NC_013957	28259
NC_025118	2371
NZ_CP004389	192380
NZ_CP005826	1031
NZ_CP015943	73576
NC_007143	2426
NC_019140	2908
NZ_CP010386	121660
NC_002377	194140
NC_019063	88803
NZ_CP018936	94665
NC_013317	21806
NG_050184	941
NZ_CP014523	114223
NC_008230	3661
NC_006629	4440
NG_047292	755
NZ_CP012637	5167
NZ_CP003955	45950
NC_002252	7258
NZ_CP005795	2955
NZ_CP014433	3125
NC_014959	39032
NC_020129	39878
NG_052862	882
NZ_AP014883	6331
NC_010657	33103
NC_005705	6868
NG_047728	674
NZ_CP012919	156480
NZ_CP009005	26933
NZ_CP005884	2411
NC_002130	5609
NC_012088	7005
NZ_CP016008	40158
NZ_CP004271	1862
NZ_CP005772	7823
NC_014621	268675
NZ_CP010417	13852
NC_021504	16384
NC_005246	60145
NZ_CP011586	10403
NC_013516	10702
NZ_CP010232	155425
NZ_CP019215	84697
NZ_CP005817	1502
NZ_CP012025	12514
NC_019883	12974
NC_015188	40588
NZ_CP009718	56203
NC_022074	2953
NG_049466	822
NG_047342	980
NZ_CP014751	49106
NC_010181	75107
NZ_CP016011	67730
NC_013130	53786
NZ_CP012804	3306
NG_048090	1040
NZ_CP004160	22547
NC_025189	1960
NC_015876	4727
NZ_CP010097	12866
NC_013506	10270
NC_000937	9531
NZ_CP014816	13198
NC_025173	94418
NZ_CP012498	213847
NZ_CP013586	354689
NZ_CP018122	120326
NZ_CP018745	57532
NZ_CP013238	820516
NZ_CP017846	47563
NC_015146	190450
NC_019786	1041
NZ_CP009489	9610
NC_010685	2473
NZ_CP006029	64561
NC_002137	42810
NC_006881	8318
NZ_CP015716	22720
NZ_CP014920	17129
NT_187142	23848
NC_019939	2804
NZ_CP007544	103516
NC_009649	175879
NZ_CP009074	24185
NC_013966	635786
NZ_CP007611	8513
NC_003132	9612
NC_017627	113346
NC_011604	10908
NC_011561	37111
NC_016042	16181
NC_011378	10226
NG_047534	1046
NZ_CP013056	250706
NC_025117	1735
NC_022652	151885
NC_007901	257447
NZ_CP015501	281190
NZ_CP005760	17073
NZ_CP014531	32423
NC_012970	76680
NZ_AP014822	41943
NZ_CP011290	32098
NZ_CP012572	163420
NC_021992	15601
NZ_CP013584	1074794
NZ_CP006589	14081
NC_022599	92815
NZ_CP013510	751351
NZ_AP014802	106137
NC_019155	115300
NC_020377	8251
NZ_CP012657	84759
NC_007900	7552
NZ_CP005987	171972
NZ_CP011622	176497
NC_004320	48672
NZ_CP011579	33610
NZ_CP018698	96072
NC_002150	6159
NZ_CP013575	96338
NZ_CP006637	2014
NC_006376	2365
NZ_CP015155	83987
NZ_CP009648	11903
NC_011082	3373
NZ_CP014069	53350
NC_020381	39749
NZ_CP004239	6046
NZ_CP018951	43380
NZ_CP014569	44765
NZ_CP015989	192095
NZ_CP011772	125076
NZ_CP010165	5023
NC_001889	14955
NZ_CP007150	114231
NC_002033	184457
NZ_CP012973	20633
NZ_CP004295	2099
NC_015909	29936
NZ_CP005870	2152
NC_011856	32543
NC_018509	235425
NZ_CP005763	14269
NC_012037	3653
NC_013178	6075
NC_008318	15723
NC_005128	48508
NZ_CP013497	439584
NC_002094	3874
NC_012513	26537
NZ_CP006590	3975
NZ_CP009695	94740
NC_013420	90435
NC_016849	6903
NC_017142	3204
NG_052059	755
NC_013789	2968
NZ_CP015129	11326
NG_049244	882
NZ_CP002698	7802
NZ_CP010972	34583
NZ_CP016409	322518
NC_018978	28138
NG_049471	822
NZ_CP009103	38457
NZ_CP009009	64912
NZ_CP012698	135111
NZ_CP014624	44086
NZ_CP012567	196706
NZ_CP014142	143277
NZ_CP005695	8514
NC_019938	9865
NC_015708	97600
NZ_CP015867	617085
NG_050299	950
NZ_CP010782	8731
NZ_CP018126	5310
NC_023289	239151
NC_008226	7881
NC_007616	17036
NC_008121	10777
NC_017775	5135
NZ_CP013818	33556
NG_047763	1420
NC_024955	109191
NC_013746	180781
NG_050417	1826
NZ_CP013548	352129
NC_009658	3619
NZ_CP014479	36862
NZ_CP018313	245975
NZ_CP018342	63588
NZ_CP011353	17063
NC_019018	104530
NZ_CP004203	1690
NG_050093	961
NC_011316	4327
NC_004836	70504
NC_012163	28645
NC_015058	188167
NG_049306	1146
NZ_CP016506	37697
NZ_CP016919	70830
NZ_LN997849	167290
NC_012040	46201
NC_017791	424524
NZ_CP009002	33702
NZ_CP005809	1942
NC_005324	6222
NC_011982	258824
NZ_CP011334	2954
NC_004164	7412
NC_014258	529676
NZ_CP015602	30116
NC_021212	39583
NZ_CP013716	64385
NZ_CP011335	7893
NZ_CP005696	2616
NZ_CP009998	412022
NC_007926	82232
NZ_CP015597	252568
NZ_HG977528	64479
NG_052086	755
NZ_CP012751	6626
NC_011868	30302
NZ_CP017056	38206
NC_019696	2779
NZ_CP015592	459971
NC_004983	2877
NZ_CP017133	20484
NC_002611	6868
NZ_CP011066	3373
NZ_CP011948	488062
NC_010656	2089
NZ_CP011629	33610
NC_008356	2546
NZ_CP014871	27074
NZ_LT599050	5736
NC_024980	93037
NZ_CP006638	5754
NC_011778	36852
NC_001537	3895
NC_019301	1298
NC_006298	5178
NC_013191	37695
NC_018146	18350
NC_019846	175983
NZ_CP014902	11878
NZ_CP011771	194680
NC_005127	21845
NZ_CP012356	53985
NZ_CP017250	92690
NC_001765	5807
NZ_CP014918	33202
NZ_CP014831	1482
NC_023324	5784
NC_020825	5866
NC_017815	4031
NC_016977	2252
NC_011256	66407
NZ_CP011623	250396
NG_052141	698
NC_022001	85047
NC_013034	14362
NG_049417	996
NC_023277	287616
NC_007487	3637
NC_003384	218160
NC_013314	2908
NZ_CP015586	64339
NC_019114	227608
NC_019765	309296
NC_017412	29993
NZ_CP017651	70884
NC_007928	2756
NC_005076	17108
NZ_CP015319	102093
NZ_CP012295	7678
NC_006297	33716
NZ_CP014530	223688
NZ_CP018361	277616
NZ_CP007228	205997
NC_007801	86072
NZ_AP012274	10497
NZ_CP014482	134899
NZ_CP005732	985
NC_020523	4109
NZ_CP005893	2733
NC_017137	1815
NZ_CP013175	1796
NZ_CP009915	11065
NG_050183	861
NZ_CP004283	4322
NC_019213	42602
NC_022348	3707
NZ_CP012596	23351
NZ_CP014917	24661
NC_011998	3417
NZ_CP005768	10425
NG_048109	1016
NZ_CP011654	100873
NG_050190	861
NZ_CP017655	72073
NZ_CP014088	4012
NC_003292	50969
NZ_CP015948	71453
NC_006395	410554
NZ_CP006663	117755
NC_017103	3035
NC_021730	8721
NZ_CP016532	4245
NC_016615	5000
NZ_CP018053	7503
NZ_CP015325	84656
NZ_CP009409	190923
NC_009777	89008
NC_012642	7078
NZ_CP014442	3125
NZ_CP007616	416210
NC_018580	182454
NC_007390	20224
NC_009829	46804
NZ_CP011399	68224
NC_019426	31370
NZ_CP013043	58447
NZ_CP015171	28186
NZ_CP013125	252328
NC_011227	4073
NC_015951	290055
NC_017416	29424
NZ_CP014848	17228
NC_020383	85134
NZ_CP019330	54993
NC_021836	5644
NC_006828	5147
NZ_CP018025	603655
NC_005311	9150
NG_048128	1460
NC_022377	135615
NZ_CP009581	62384
NC_014111	25105
NZ_CP007623	11903
NZ_CP018824	6058
NC_019147	7567
NC_010679	121122
NC_000954	30651
NZ_CP003716	33915
NC_009806	182572
NZ_CP018104	207960
NZ_CP019007	128248
NC_019991	24555
NC_013338	50500
NC_013942	66001
NZ_CP010217	6036
NC_011412	64753
NC_008247	4924
NC_006154	27702
NZ_CP015212	152978
NZ_CP018452	67100
NG_051167	888
NC_008053	3002
NZ_CP013587	395855
NZ_CP010068	12763
NZ_CP009904	96473
NC_012810	24943
NC_021159	2524
NC_017233	22901
NZ_CP018746	37053
NC_011797	7472
NZ_LK021128	66798
NC_022574	5026
NC_021250	129894
NZ_CP018048	317349
NC_013190	42325
NG_047714	710
NC_008741	198504
NZ_CP013597	314785
NZ_CP013523	256181
NZ_CP011106	143694
NZ_CP006473	7842
NC_023314	61228
NC_015154	95626
NG_049507	1025
NC_011603	97978
NC_005011	20654
NZ_CP015332	27618
NZ_CP012565	112059
NG_048716	1067
NC_012220	2112
NC_017419	29521
NC_021238	55417
NZ_CP010825	69906
NC_004964	4194
NC_013301	20672
NC_014818	244260
NZ_CP014769	199990
NC_016905	80698
NZ_CP019166	77105
NZ_CP010096	14749
NZ_CP011478	12685
NZ_CP004212	1060
NZ_CP005916	1199
NZ_CP009776	115320
NZ_CP019311	68760
NC_017169	96210
NZ_CP015735	61249
NZ_CP009368	402605
NZ_CP009603	51512
NZ_CP010823	14448
NC_016746	8462
NZ_CP009873	13841
NC_019677	77478
NC_007641	53732
NC_004968	2672
NZ_CP013123	7019
NC_002104	4059
NG_047657	1430
NC_017779	9473
NG_050402	770
NZ_CP005691	5377
NZ_HG917973	114229
NC_017497	3978
NZ_CP009969	9146
NZ_CP013169	3123
NC_019279	2702
NZ_CP010098	10656
NZ_CP015795	53359
NZ_CP016815	212770
NZ_CP009123	208588
NZ_CP007163	4094
NZ_CP011063	98436
NC_014812	23681
NC_022197	2462
NC_020950	7500
NZ_CP018940	2883
NC_014548	8528
NC_007428	23486
NZ_CP016518	37698
NZ_CP005700	5711
NC_015679	4085
NC_011965	30117
NZ_CP004863	11769
NC_011787	28763
NC_022587	4094
NC_011844	26994
NG_047376	762
NC_022078	317154
NC_017433	7493
NZ_CP009020	26933
NZ_CP003956	37095
NG_047407	1121
NZ_CP014850	39023
NC_012167	38893
NC_001898	5229
NC_015421	10798
NZ_CP018236	142112
NC_019160	7605
NZ_CP005786	4229
NZ_CP012142	222060
NC_016619	191828
NC_003490	14875
NZ_CP017987	117168
NC_012733	1920
NC_019211	4865
NC_022114	24207
NC_019349	12067
NC_011266	1549
NC_008770	37473
NZ_CP010203	4372
NG_047440	1016
NC_019433	6159
NC_009926	374161
NC_010608	38945
NC_020981	7500
NC_017423	27767
NC_015515	10497
NZ_CP011434	4248
NZ_CP010325	107623
NC_019087	44216
NG_048854	1188
NZ_CP018264	28972
NZ_CP004177	2254
NG_050459	1736
NZ_CP016835	20831
NC_019348	7435
NZ_CP018077	185176
NC_013210	191799
NZ_CP015825	43322
NZ_CP016891	216117
NC_011889	12638
NZ_CP005828	1014
NC_015187	65564
NC_017903	37785
NZ_CP010814	181682
NZ_CP008899	255013
NC_004767	3955
NZ_CP016812	65887
NZ_CP018257	110964
NC_019941	88600
NZ_CP013026	63800
NZ_CP014824	4480
NZ_CP012007	169023
NC_014003	5698
NZ_CP012656	8437
NC_007207	4661
NZ_CP015021	81401
NZ_CP004157	2867
NZ_FO538766	31063
NC_013391	4572
NC_005012	37468
NZ_CP014526	32967
NZ_CP008843	183015
NC_019385	5598
NZ_CP011493	140232
NZ_CP009292	756828
NC_005024	46445
NZ_CP018274	8898
NZ_CP012941	116523
NC_025149	8216
NG_048403	863
NZ_CP007624	140690
NZ_CP010393	207543
NC_005207	30201
NC_011843	30293
NC_014918	425539
NZ_CP012509	57431
NZ_CP005769	9988
NC_006525	171461
NC_022598	60563
NC_014633	961624
NZ_CP014520	24943
NC_013289	27068
NC_011739	33809
NC_017498	10372
NZ_CP017102	125266
NZ_CP019017	73464
NZ_CP007038	222586
NC_014824	420706
NC_017163	74451
NC_006911	35159
NZ_CP015139	186826
NZ_CP018612	41771
NC_005922	4217
NZ_CP016943	73026
NZ_CP012592	5458
NC_007351	38454
NC_022570	94034
NC_021515	7240
NZ_CP019138	1943
NC_011265	27476
NZ_CP016160	165276
NZ_LN831789	132226
NC_021903	15167
NZ_CP018967	5167
NZ_CP011433	4800
NZ_CP004259	3909
NC_014535	13777
NZ_CP006725	67282
NZ_CP018343	57266
NZ_CP018285	2585
NZ_CP015197	5997
NC_015170	132270
NZ_CP013641	504214
NZ_CP016572	98999
NZ_CP017724	106449
NC_021734	52268
NZ_CP018966	4087
NC_011788	32041
NC_019731	150927
NC_011775	209488
NZ_CP010020	9606
NZ_CP006641	103644
NZ_CP005705	4542
NC_017636	5360
NC_011842	34837
NZ_CP005091	9585
NZ_CP012477	754192
NZ_CP014413	3125
NC_017821	2469
NG_047698	683
NC_014214	124421
NC_009897	15286
NZ_CP015022	95170
NC_009702	56628
NZ_CP008919	48866
NC_006374	2725
NC_009786	79237
NZ_CP012865	81453
NC_010980	63135
NG_051844	755
NZ_CP004234	11054
NZ_CP011592	5410
NG_047892	620
NC_010660	210919
NC_006843	3624
NC_005245	6286
NC_005205	72601
NC_007165	5767
NC_024961	42804
NC_003383	81905
NZ_CP015807	32269
NZ_CP005093	5391
NG_047842	947
NG_049683	1031
NG_048853	1258
NZ_CP018291	1250
NZ_CP014430	3125
NC_017766	164566
NC_010726	41723
NC_020914	28266
NC_004954	50709
NZ_CP012741	70069
NZ_CP007610	8240
NZ_AP014687	136288
NC_001858	7028
NC_019201	6966
NC_012196	28984
NZ_LT599053	69485
NC_008036	28543
NC_021572	9754
NC_016597	167364
NC_015221	63790
NZ_CP006880	2466951
NZ_CP009874	50051
NZ_CP005820	1367
NZ_CP014288	12487
NC_032102	108462
NZ_CP018436	52058
NZ_CP005909	1206
NC_013389	24518
NZ_CP012915	1754523
NC_017139	74613
NZ_CP009717	7243
NZ_CP007614	94637
NZ_AP014830	5754
NC_019008	27268
NC_017393	29902
NC_014825	352646
NC_021845	166668
NZ_CP017243	438379
NC_018888	50100
NC_001379	3292
NG_050295	861
NZ_CP012652	46011
NZ_CP011575	43621
NC_015698	14173
NC_016029	4615
NC_015147	94456
NC_004851	221618
NZ_CP004156	5081
NZ_CP016810	307743
NC_010933	209385
NC_016983	204052
NC_021669	3956
NC_001336	13514
NC_019360	288920
NC_013354	75546
NZ_CP014822	4786
NZ_CP019136	385
NZ_CP012186	206535
NC_007169	2300
NC_020562	172140
