	target name	taccession	query name	qaccession	fE-value	fscore	fbias	dE-value	dscore	dbias	exp	reg	clu	ov	env	dom	rep	inc	description of target	qlen	plasmid ID
656	Chlor_Acetyltrans_CAT	RF0050	ref|YP_005352034.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Klebsiella pneumoniae]	219.0	NC_016976
657	ClassD	RF0056	ref|YP_005352041.1|	-	6.999999999999998e-105	342.7	0.0	7.899999999999998e-105	342.6	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	OXA-21 beta-lactamase (plasmid) [Klebsiella pneumoniae]	275.0	NC_016976
658	AAC3	RF0002	ref|YP_005863075.1|	-	4.3e-37	120.5	0.0	5.4e-37	120.1	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside N3-acetyltransferase (plasmid) [Lactococcus lactis]	276.0	NC_017478
659	ANT3	RF0027	ref|NP_848172.1|	-	2.399999999999999e-169	554.2	1.1	2.5999999999999993e-169	554.1	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Pasteurella multocida]	263.0	NC_004772
662	CARB-PSE	RF0044	ref|NP_848173.1|	-	1.4999999999999992e-185	608.3	0.7	1.6999999999999996e-185	608.1	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaP1 (plasmid) [Pasteurella multocida]	288.0	NC_004772
664	Chlor_Acetyltrans_CAT	RF0050	ref|YP_783894.1|	-	1.8999999999999994e-90	295.2	11.4	2.1e-90	295.1	11.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Enterococcus faecalis]	215.0	NC_008445
665	ErmB	RF0070	ref|YP_783898.1|	-	1.8999999999999994e-173	567.4	15.9	2.099999999999999e-173	567.2	15.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	MLS methylase (plasmid) [Enterococcus faecalis]	245.0	NC_008445
667	ANT6	RF0029	ref|YP_783928.1|	-	5.899999999999998e-173	566.7	9.7	6.2999999999999975e-173	566.6	9.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 6-adenylyltranserase (plasmid) [Enterococcus faecalis]	302.0	NC_008445
669	APH3'	RF0173	ref|YP_783930.1|	-	3.1999999999999996e-113	370.6	0.4	3.599999999999999e-113	370.4	0.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside phosphotransferase type III (plasmid) [Enterococcus faecalis]	264.0	NC_008445
671	ClassD	RF0056	ref|YP_003293955.1|	-	1.0999999999999997e-108	355.2	1.8	1.1999999999999995e-108	355.1	1.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	betalactamase OXA24 (plasmid) [Acinetobacter baumannii]	275.0	NC_013506
672	AAC6-Ib	RF0005	ref|YP_006316013.1|	-	2.9999999999999995e-126	411.1	0.1	3.2999999999999994e-126	410.9	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aminoglycoside acetyltransferase AacA4'-8 (plasmid) [Mycobacterium abscessus subsp. bolletii F1725]	172.0	NC_017908
673	APH3''	RF0172	ref|YP_006316042.1|	-	1.0999999999999997e-154	506.4	0.3	1.1999999999999998e-154	506.3	0.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	putative streptomycin phosphotransferase A (plasmid) [Mycobacterium abscessus subsp. bolletii F1725]	252.0	NC_017908
675	APH6	RF0034	ref|YP_006316043.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Streptomycin phosphotransferase B (plasmid) [Mycobacterium abscessus subsp. bolletii F1725]	278.0	NC_017908
676	APH3	RF0033	ref|NP_878008.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase/2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus aureus]	479.0	NC_005054
677	vanR	RF0154	ref|NP_878013.1|	-	1.1999999999999997e-107	351.6	1.4	1.2999999999999996e-107	351.4	1.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin response regulator VanR (plasmid) [Staphylococcus aureus]	231.0	NC_005054
678	vanS	RF0155	ref|NP_878014.1|	-	9.199999999999997e-148	485.0	6.4	9.999999999999997e-148	484.8	6.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	sensor histidine kinase VanS (plasmid) [Staphylococcus aureus]	384.0	NC_005054
679	vanH	RF0153	ref|NP_878015.1|	-	2.2999999999999988e-196	644.0	0.7	2.499999999999999e-196	643.9	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin resistance protein VanH (plasmid) [Staphylococcus aureus]	322.0	NC_005054
680	vanA	RF0149	ref|NP_878016.1|	-	8.899999999999995e-245	803.8	0.8	9.899999999999995e-245	803.6	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin/teicoplanin A-type resistance protein VanA (plasmid) [Staphylococcus aureus]	343.0	NC_005054
681	vanX	RF0158	ref|NP_878017.1|	-	6.399999999999998e-117	381.3	0.1	7.099999999999998e-117	381.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin B-type resistance protein VanX (plasmid) [Staphylococcus aureus]	202.0	NC_005054
682	vanY	RF0159	ref|NP_878018.1|	-	1.2999999999999997e-127	418.3	5.6	1.6999999999999995e-127	418.0	5.6	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	D-alanyl-D-alanine carboxypeptidase VanY (plasmid) [Staphylococcus aureus]	296.0	NC_005054
683	vanZ	RF0160	ref|NP_878019.1|	-	3.1999999999999993e-103	335.5	18.6	3.5999999999999993e-103	335.3	18.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanZ protein (plasmid) [Staphylococcus aureus]	161.0	NC_005054
684	PC1	RF0111	ref|NP_878023.1|	-	1.9999999999999996e-184	604.1	21.3	2.299999999999999e-184	603.9	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_005054
686	blaR1	RF0043	ref|NP_878024.1|	-	0.0	1346.1	61.7	0.0	1345.9	61.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase regulatory protein BlaR1 (plasmid) [Staphylococcus aureus]	585.0	NC_005054
687	blaI	RF0042	ref|NP_878025.1|	-	3.399999999999999e-85	275.3	15.8	3.8e-85	275.2	15.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_005054
688	blaI	RF0042	ref|NP_932191.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_005127
689	blaR1	RF0043	ref|NP_932192.1|	-	0.0	1309.0	58.2	0.0	1308.8	58.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaR1 (plasmid) [Staphylococcus aureus]	568.0	NC_005127
690	PC1	RF0111	ref|NP_932193.1|	-	3.8999999999999986e-183	599.9	21.3	4.399999999999999e-183	599.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaZ (plasmid) [Staphylococcus aureus]	281.0	NC_005127
692	ErmC	RF0071	ref|YP_025321.1|	-	1.6999999999999997e-170	557.7	23.1	1.899999999999999e-170	557.6	23.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hypothetical protein pE194p5 (plasmid) [Staphylococcus aureus]	244.0	NC_005908
694	ErmB	RF0070	ref|YP_003305352.1|	-	9.499999999999997e-174	568.4	16.0	1.0999999999999996e-173	568.2	16.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AM7 (plasmid) [Enterococcus faecalis]	245.0	NC_013514
696	PC1	RF0111	ref|YP_006937602.1|	-	1.9999999999999996e-184	604.1	21.3	2.299999999999999e-184	603.9	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013319
698	blaI	RF0042	ref|YP_006937604.1|	-	3.399999999999999e-85	275.3	15.8	3.8e-85	275.2	15.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013319
699	ErmB	RF0070	ref|YP_006937611.1|	-	1.2999999999999997e-173	567.9	16.3	1.4999999999999993e-173	567.7	16.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	rRNA adenine N-6-methyltransferase (Macrolide-lincosamide-streptogramin B resistance protein) (plasmid) [Staphylococcus aureus]	245.0	NC_013319
701	APH3	RF0033	ref|YP_006937626.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus aureus]	479.0	NC_013320
702	tet_MFS_efflux	RF0134	ref|YP_006937647.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Staphylococcus aureus]	459.0	NC_013320
704	ANT	RF0166	ref|YP_006937662.1|	-	3.2e-80	262.1	0.0	3.5999999999999995e-80	262.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	kanamycin nucleotidyltransferase (plasmid) [Staphylococcus aureus]	253.0	NC_013320
705	PC1	RF0111	ref|YP_006937125.1|	-	1.2999999999999996e-184	604.7	22.0	1.4999999999999994e-184	604.5	22.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	295.0	NC_013289
707	APH3'	RF0173	ref|YP_006937153.1|	-	3.1999999999999996e-113	370.6	0.4	3.599999999999999e-113	370.4	0.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aminoglycoside 3'-phosphotransferase (Kanamycin kinase, type III) (Neomycin-kanamycin phosphotransferase type III) (APH(3')III) (plasmid) [Staphylococcus aureus]	264.0	NC_013289
709	blaI	RF0042	ref|YP_006937159.1|	-	3.0999999999999997e-85	275.5	16.8	3.399999999999999e-85	275.3	16.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013289
710	APH3	RF0033	ref|YP_006938812.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus epidermidis]	479.0	NC_013372
711	PC1	RF0111	ref|YP_006938848.1|	-	3.8999999999999986e-183	599.9	21.3	4.399999999999999e-183	599.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus epidermidis]	281.0	NC_013372
713	blaI	RF0042	ref|YP_006938850.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus epidermidis]	126.0	NC_013372
714	ANT	RF0166	ref|YP_006938857.1|	-	1.3999999999999996e-78	256.8	0.1	1.5999999999999995e-78	256.6	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Kanamycin nucleotidyltransferase (plasmid) [Staphylococcus epidermidis]	247.0	NC_013372
715	APH3	RF0033	ref|YP_006939205.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus sp. CDC25]	479.0	NC_013387
716	PC1	RF0111	ref|YP_006939212.1|	-	1.9999999999999996e-184	604.1	21.3	2.299999999999999e-184	603.9	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus sp. CDC25]	281.0	NC_013387
718	blaI	RF0042	ref|YP_006939214.1|	-	3.399999999999999e-85	275.3	15.8	3.8e-85	275.2	15.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus sp. CDC25]	126.0	NC_013387
719	PC1	RF0111	ref|YP_006938314.1|	-	5.399999999999999e-182	596.1	20.3	6.099999999999999e-182	596.0	20.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013338
721	blaI	RF0042	ref|YP_006938316.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013338
722	APH3	RF0033	ref|YP_006938333.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus aureus]	479.0	NC_013338
723	APH3	RF0033	ref|YP_006938359.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus aureus]	479.0	NC_013339
724	ANT	RF0166	ref|YP_006938380.1|	-	1.3999999999999996e-78	256.8	0.1	1.5999999999999995e-78	256.6	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Kanamycin nucleotidyltransferase (plasmid) [Staphylococcus aureus]	247.0	NC_013339
725	tet_MFS_efflux	RF0134	ref|YP_006937490.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Staphylococcus aureus]	459.0	NC_013309
727	tet_MFS_efflux	RF0134	ref|YP_006937494.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Staphylococcus aureus]	459.0	NC_013311
729	blaI	RF0042	ref|YP_006938737.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013351
730	PC1	RF0111	ref|YP_006938739.1|	-	1.2999999999999997e-181	594.9	21.3	1.3999999999999997e-181	594.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013351
732	PC1	RF0111	ref|YP_006938770.1|	-	1.9999999999999996e-184	604.1	21.3	2.299999999999999e-184	603.9	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013352
734	blaI	RF0042	ref|YP_006938772.1|	-	3.399999999999999e-85	275.3	15.8	3.8e-85	275.2	15.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013352
735	Chlor_Acetyltrans_CAT	RF0050	ref|YP_006937524.1|	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Chloramphenicol ecetyltransferase (CAT) (plasmid) [Staphylococcus aureus]	216.0	NC_013314
736	blaI	RF0042	ref|YP_006937749.1|	-	3.399999999999999e-85	275.3	15.8	3.8e-85	275.2	15.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013323
737	PC1	RF0111	ref|YP_006937751.1|	-	1.9999999999999996e-184	604.1	21.3	2.299999999999999e-184	603.9	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013323
739	blaI	RF0042	ref|YP_006939416.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_018972
740	PC1	RF0111	ref|YP_006939419.1|	-	1.2999999999999997e-181	594.9	21.3	1.3999999999999997e-181	594.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_018972
742	PC1	RF0111	ref|YP_006938977.1|	-	3.8999999999999986e-181	593.3	20.5	4.3999999999999983e-181	593.1	20.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus epidermidis]	281.0	NC_013374
744	blaI	RF0042	ref|YP_006938980.1|	-	1.8999999999999995e-84	272.9	16.4	2.1e-84	272.8	16.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus epidermidis]	126.0	NC_013374
745	tet_MFS_efflux	RF0134	ref|YP_006938259.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Staphylococcus aureus]	459.0	NC_013336
747	blaI	RF0042	ref|YP_006937432.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013303
748	blaR1	RF0043	ref|YP_006937433.1|	-	0.0	1349.6	61.6	0.0	1349.4	61.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase regulatory sensor-transducer BlaR1 (plasmid) [Staphylococcus aureus]	585.0	NC_013303
749	PC1	RF0111	ref|YP_006937434.1|	-	2.5999999999999992e-185	607.0	21.7	2.9999999999999983e-185	606.8	21.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013303
751	blaI	RF0042	ref|YP_006937469.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013304
752	blaR1	RF0043	ref|YP_006937470.1|	-	0.0	1349.6	61.6	0.0	1349.4	61.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase regulatory sensor-transducer BlaR1 (plasmid) [Staphylococcus aureus]	585.0	NC_013304
753	PC1	RF0111	ref|YP_006937471.1|	-	2.5999999999999992e-185	607.0	21.7	2.9999999999999983e-185	606.8	21.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013304
755	ANT	RF0166	ref|YP_006938517.1|	-	3.399999999999999e-80	262.1	0.0	3.799999999999999e-80	261.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Kanamycin nucleotidyltransferase (plasmid) [Staphylococcus aureus]	256.0	NC_013343
756	APH3	RF0033	ref|YP_006938543.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6'-aminoglycoside N-acetyltransferase (AAC(6')) / 2''-aminoglycoside phosphotransferase (plasmid) [Staphylococcus aureus]	479.0	NC_013343
757	vanZ	RF0160	ref|YP_006937545.1|	-	3.1999999999999993e-103	335.5	18.6	3.5999999999999993e-103	335.3	18.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein vanZ (plasmid) [Enterococcus faecium]	161.0	NC_013317
758	vanY	RF0159	ref|YP_006937546.1|	-	1.5999999999999995e-127	418.0	4.8	2.0999999999999993e-127	417.7	4.8	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	D-alanyl-D-alanine carboxypeptidase (plasmid) [Enterococcus faecium]	303.0	NC_013317
759	vanX	RF0158	ref|YP_006937547.1|	-	1.3999999999999997e-116	380.2	0.1	1.4999999999999996e-116	380.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin B-type resistance protein VanX (plasmid) [Enterococcus faecium]	202.0	NC_013317
760	vanA	RF0149	ref|YP_006937548.1|	-	4.9999999999999974e-244	801.3	0.7	5.599999999999997e-244	801.2	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Vancomycin Teicoplanin A-type resistance protein VanA / D-alanine--D-alanine ligase (plasmid) [Enterococcus faecium]	343.0	NC_013317
761	vanH	RF0153	ref|YP_006937549.1|	-	2.2999999999999988e-196	644.0	0.7	2.499999999999999e-196	643.9	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Vancomycin resistance protein VanH / D-lactate dehydrogenase (plasmid) [Enterococcus faecium]	322.0	NC_013317
762	vanS	RF0155	ref|YP_006937551.1|	-	8.799999999999998e-148	485.1	6.4	9.999999999999997e-148	484.9	6.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Sensor histidine kinase VanS (plasmid) [Enterococcus faecium]	380.0	NC_013317
763	vanR	RF0154	ref|YP_006937552.1|	-	1.1999999999999997e-107	351.6	1.4	1.2999999999999996e-107	351.4	1.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	vancomycin response regulator (plasmid) [Enterococcus faecium]	231.0	NC_013317
764	blaI	RF0042	ref|YP_006938678.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013348
765	PC1	RF0111	ref|YP_006938681.1|	-	1.2999999999999995e-182	598.1	24.2	1.4999999999999994e-182	598.0	24.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013348
767	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|YP_006939897.1|	-	2.8999999999999985e-237	779.5	1.9	3.199999999999999e-237	779.4	1.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase class C (plasmid) [Escherichia coli]	381.0	NC_018994
769	ANT3	RF0027	ref|YP_006939955.1|	-	1.9999999999999995e-166	544.6	0.7	2.1999999999999995e-166	544.5	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside adenylyltransferase AadA2 (plasmid) [Escherichia coli]	259.0	NC_018994
771	16S_rRNA_methyltrans	RF0001	ref|YP_006939960.1|	-	1.0999999999999997e-124	408.0	6.0	1.1999999999999995e-124	407.8	6.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	16S rRNA methylase ArmA (plasmid) [Escherichia coli]	271.0	NC_018994
773	ABC_efflux	RF0007	ref|YP_006939964.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	macrolide efflux protein (plasmid) [Escherichia coli]	491.0	NC_018994
774	NDM-CcrA	RF0108	ref|YP_006939981.1|	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	New Delhi metallo-beta-lactamase-1 (plasmid) [Escherichia coli]	270.0	NC_018994
778	TEM	RF0126	ref|YP_006939984.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TEM-1 beta-lactamase (plasmid) [Escherichia coli]	286.0	NC_018994
780	APH6	RF0034	ref|YP_006940089.1|	-	3.699999999999999e-131	429.6	2.8	4.399999999999999e-131	429.3	2.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside/hydroxyurea antibiotic resistance kinase family protein (plasmid) [Escherichia coli]	254.0	NC_018995
781	TEM	RF0126	ref|YP_006940092.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Escherichia coli]	286.0	NC_018995
783	APH3''	RF0172	ref|YP_006940093.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin 3'-phosphotransferase, putative (plasmid) [Escherichia coli]	267.0	NC_018995
785	PC1	RF0111	ref|YP_006938093.1|	-	1.2999999999999997e-181	594.9	21.3	1.3999999999999997e-181	594.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013331
787	blaR1	RF0043	ref|YP_006938094.1|	-	0.0	1344.4	60.0	0.0	1344.3	60.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase regulatory sensor-transducer BlaR1 (plasmid) [Staphylococcus aureus]	585.0	NC_013331
788	blaI	RF0042	ref|YP_006938095.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013331
789	Chlor_Acetyltrans_CAT	RF0050	ref|YP_006939306.1|	-	1.8999999999999997e-94	308.3	8.7	2.0999999999999998e-94	308.1	8.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Chloramphenicol acetyltransferase (CAT) (plasmid) [Staphylococcus epidermidis]	215.0	NC_013394
790	blaI	RF0042	ref|YP_006937569.1|	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase repressor BlaI (plasmid) [Staphylococcus aureus]	126.0	NC_013318
791	PC1	RF0111	ref|YP_006937571.1|	-	1.2999999999999997e-181	594.9	21.3	1.3999999999999997e-181	594.7	21.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013318
793	PC1	RF0111	ref|YP_006937813.1|	-	3.199999999999999e-185	606.7	22.1	3.5999999999999985e-185	606.6	22.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_013324
