locus	CDS
NC_025110	9
NC_024956	84
NC_023912	2
NC_025014	1
NC_025058	9
NC_025096	6
NC_024963	4
NC_024988	11
NC_024974	61
NC_007293	1
NC_025019	90
NC_025041	67
NC_024986	9
NC_024964	5
NC_025027	59
NC_025097	16
NC_025004	7
NC_025005	1
NC_025006	2
NC_025042	78
NC_025015	2
NC_025016	2
NC_025017	2
NC_006978	21
NC_025018	5
NC_024997	92
NC_025116	50
NC_025123	11
NC_025124	9
NC_025126	7
NC_025127	195
NC_025128	112
NC_025129	2
NC_025130	69
NC_025131	181
NC_025132	8
NC_025133	38
NC_025135	5
NC_025137	13
NC_025138	149
NC_025139	208
NC_025140	116
NC_025141	208
NC_025144	148
NC_025145	118
NC_025147	112
NC_025151	60
NC_025153	35
NC_025154	6
NC_025155	5
NC_025156	5
NC_025157	1
NC_025158	1
NC_025160	1
NC_025165	4
NC_025167	110
NC_025168	10
NC_025169	1
NC_025170	9
NC_025171	10
NC_025172	91
NC_025181	3
NC_025183	93
NC_025191	2
NC_025192	2
NC_025193	4
NC_025194	14
NC_025195	1
NC_025196	5
NC_025197	63
NC_025173	108
NC_025174	1
NC_025175	251
NC_025179	193
NC_025180	123
NC_025184	132
NC_025185	84
NC_025186	73
NC_025187	125
NC_025125	6
NC_025198	118
NC_025142	148
NC_025143	151
NC_025166	125
NC_025117	2
NC_025119	7
NC_025120	10
NC_025121	14
NC_025122	14
NC_025188	19
NC_025176	155
NC_025177	119
NC_025178	11
NC_025136	62
NC_023902	1
NC_025189	3
NC_025118	3
NC_016138	137
NC_025249	57
NC_010935	92
NC_014937	149
NC_015462	17
NC_013937	12
NC_013938	16
NC_024957	91
NC_024958	82
NC_024975	124
NC_024976	104
NC_024977	107
NC_024979	129
NC_024978	127
NC_021522	1
NC_016806	2
NZ_CP009562	137
NZ_CP009560	176
NC_020277	71
NZ_CP009564	139
NZ_CP009563	104
NC_021512	1
NC_024996	104
NZ_CP010448	85
NC_007430	8
NC_007717	5
NC_007718	4
NC_007719	7
NC_007720	6
NC_007110	69
NC_007111	44
NC_009897	15
NC_006672	164
NC_006673	28
NC_006674	18
NC_006675	16
NC_006676	3
NC_007483	46
NC_004252	10
NC_004253	4
NC_009516	16
NC_009517	2
NC_010331	4
NC_007968	44
NC_011246	115
NC_011252	20
NC_011253	32
NC_011255	37
NC_011258	35
NC_011260	58
NC_011263	8
NC_008087	7
NC_006298	6
NC_008500	5
NC_008501	2
NC_011224	10
NC_011226	14
NC_011247	147
NC_011257	24
NC_011259	16
NC_011261	37
NC_011265	38
NC_011245	38
NC_011248	32
NC_011249	27
NC_011250	38
NC_011251	45
NC_011254	40
NC_011256	62
NC_011262	39
NC_011264	30
NC_012634	11
NC_008496	45
NC_009713	3
NC_008341	58
NC_008342	62
NC_011034	10
NC_011061	64
NC_008036	30
NC_011334	10
NC_011499	11
NC_011783	18
NC_011784	66
NC_011735	41
NC_011778	36
NC_011720	66
NC_011781	25
NC_011782	17
NC_011731	41
NC_011785	28
NC_011736	43
NC_011779	34
NC_011780	19
NC_011722	42
NC_011724	26
NC_017286	8
NC_010846	60
NC_012439	66
NC_013164	100
NC_008765	86
NC_008766	66
NC_009329	61
NC_010844	60
NC_013419	6
NC_007515	18
NC_008738	236
NC_008739	215
NC_012794	37
NC_012790	9
NC_013386	29
NC_012970	72
NC_012972	13
NC_012847	31
NC_008741	147
NC_011143	366
NC_009466	69
NC_017356	5
NC_009673	10
NC_009426	182
NC_009427	432
NC_010815	80
NC_008607	197
NC_008608	32
NC_012036	6
NC_012037	5
NC_012527	260
NC_012529	254
NC_012528	363
NC_014131	19
NC_014132	19
NC_014133	19
NC_014134	32
NC_014135	4
NC_011367	29
NC_012983	67
NC_008042	101
NC_008043	726
NC_013206	83
NC_013207	87
NC_013208	8
NC_009040	108
NC_008757	305
NC_008758	163
NC_008759	152
NC_008760	141
NC_008761	50
NC_008762	17
NC_008763	13
NC_008764	7
NC_017383	8
NC_011962	141
NC_011960	93
NC_011585	9
NC_007949	338
NC_007950	320
NC_008242	333
NC_008243	119
NC_008244	49
NC_007901	258
NC_009035	91
NC_009036	86
NC_009037	12
NC_009038	10
NC_011667	67
NC_014754	114
NC_014755	85
NC_014756	55
NC_014763	3
NC_014917	97
NC_014226	23
NC_017561	37
NC_010683	85
NC_010466	35
NC_010467	21
NC_010469	14
NC_010470	43
NC_014728	6
NC_009669	173
NC_009670	100
NC_009671	93
NC_009672	38
NC_011664	84
NC_011668	62
NC_011665	49
NC_013518	56
NC_013519	16
NC_014556	7
NC_017363	18
NC_007959	298
NC_007960	181
NC_007961	132
NC_007103	439
NC_007104	6
NC_007105	54
NC_007106	8
NC_007107	9
NC_014749	56
NC_015217	8
NC_008320	10
NC_009661	87
NC_012109	66
NC_017479	51
NC_017480	28
NC_017499	243
NC_017373	28
NC_017471	5
NC_017472	68
NC_017364	1
NC_013130	65
NC_017398	41
NC_017422	26
NC_017414	33
NC_017399	9
NC_017419	35
NC_017415	20
NC_017420	13
NC_017400	19
NC_017416	27
NC_017421	29
NC_017423	38
NC_017401	26
NC_017424	41
NC_017417	18
NC_017402	42
NC_006128	26
NC_006129	65
NC_015213	6
NC_015218	15
NC_009507	294
NC_009508	198
NC_008147	234
NC_010335	209
NC_010333	164
NC_010998	385
NC_010996	377
NC_010997	976
NC_011775	230
NC_011774	108
NC_013930	272
NC_013502	96
NC_011973	215
NC_011971	67
NC_014719	19
NC_008703	283
NC_008704	235
NC_010180	318
NC_010181	67
NC_010182	82
NC_010183	60
NC_014316	42
NC_014317	8
NC_010070	151
NC_014753	145
NC_017468	28
NC_008771	43
NC_008697	272
NC_014154	45
NC_014155	22
NC_012473	165
NC_014633	887
NC_014634	122
NC_014544	71
NC_015169	255
NC_015162	222
NC_015170	112
NC_015163	103
NC_017311	155
NC_014975	13
NC_015420	59
NC_015429	22
NC_015421	17
NC_015598	188
NC_015603	50
NC_009717	309
NC_015756	20
NC_014621	248
NC_014626	218
NC_013412	37
NC_009339	302
NC_009340	25
NC_009341	15
NC_011991	111
NC_011984	197
NC_011982	247
NC_011981	560
NC_011986	85
NC_015979	54
NC_015980	16
NC_014213	322
NC_014214	132
NC_012782	86
NC_012780	610
NC_017725	25
NC_017804	69
NC_011368	1199
NC_011366	455
NC_011371	221
NC_011370	269
NC_013193	153
NC_013190	39
NC_013191	42
NC_011776	2
NC_011777	275
NC_011771	13
NC_017229	26
NC_017224	42
NC_017225	41
NC_017230	41
NC_017226	42
NC_017227	42
NC_017231	34
NC_017228	40
NC_017232	23
NC_017239	25
NC_017233	20
NC_017234	13
NC_017235	29
NC_017236	19
NC_017240	36
NC_017237	29
NC_017241	69
NC_015715	38
NC_015716	34
NC_005707	206
NC_017180	28
NC_017183	27
NC_017181	25
NC_017184	27
NC_017182	3
NC_017185	2
NC_016150	5
NC_012855	415
NC_012849	272
NC_012851	65
NC_011654	19
NC_011655	235
NC_011656	55
NC_011657	2
NC_015700	15
NC_015698	14
NC_015701	16
NC_015699	6
NC_015876	6
NC_013792	265
NC_013793	103
NC_015319	33
NC_015322	27
NC_017273	441
NC_017377	14
NC_003080	13
NC_014651	73
NC_013958	63
NC_007169	2
NC_007170	2
NC_007171	9
NC_017380	2
NC_015223	90
NC_015221	67
NC_008010	516
NC_009939	200
NC_007615	18
NC_007616	17
NC_007617	18
NC_011990	179
NC_011987	354
NC_011994	39
NC_017242	2
NC_012655	95
NC_012656	171
NC_004319	16
NC_004320	39
NC_014750	8
NC_017508	49
NC_017507	146
NC_015851	236
NC_015852	12
NC_015853	14
NC_015854	30
NC_006139	104
NC_006140	18
NC_010604	28
NC_015146	198
NC_015147	94
NC_014908	108
NC_014911	85
NC_015970	88
NC_015967	1
NC_012577	94
NC_012579	171
NC_017536	126
NC_017539	166
NC_014558	47
NC_017032	64
NC_017023	4
NC_017024	5
NC_017369	8
NC_015057	310
NC_015065	206
NC_015058	176
NC_015059	95
NC_015060	108
NC_017734	6
NC_017919	27
NC_018633	8
NC_015459	63
NC_015184	586
NC_014249	93
NC_014250	9
NC_017370	1
NC_015423	87
NC_010399	50
NC_010408	105
NC_017064	4
NC_008688	601
NC_017041	24
NC_015258	62
NC_017577	125
NC_017580	99
NC_017578	83
NC_017570	64
NC_017572	51
NC_017588	279
NC_017590	158
NC_015560	20
NC_015561	94
NC_017139	60
NC_017140	10
NC_017141	9
NC_017935	2
NC_014811	202
NC_014812	23
NC_019561	16
NC_019562	2
NC_019564	11
NC_019565	1
NC_008573	267
NC_016835	407
NC_016819	107
NC_017092	7
NC_014331	170
NC_014332	93
NC_014333	16
NC_007336	564
NC_007337	90
NC_015178	246
NC_015187	58
NC_015179	55
NC_015188	33
NC_015180	13
NC_015181	12
NC_015189	6
NC_015182	2
NC_010401	7
NC_010402	9
NC_010403	5
NC_010404	89
NC_015498	324
NC_018222	15
NC_018223	79
NC_007974	2278
NC_007971	242
NC_007972	165
NC_006153	84
NC_006154	32
NC_017201	183
NC_017199	135
NC_017202	133
NC_017209	20
NC_017203	255
NC_017204	70
NC_017210	7
NC_017205	84
NC_017211	10
NC_017206	93
NC_017207	9
NC_017212	7
NC_020208	237
NC_018066	69
NC_018067	4
NC_017726	171
NC_017727	94
NC_016794	66
NC_016780	9
NC_018746	122
NC_018878	681
NC_018879	86
NC_018880	14
NC_018881	9
NC_018882	9
NC_018883	7
NC_018884	5
NC_018885	3
NC_018886	9
NC_020816	16
NC_020817	62
NC_018516	434
NC_018509	245
NC_018510	197
NC_018517	21
NC_018511	9
NC_018512	4
NC_022243	10
NC_020249	68
NC_020239	87
NC_020240	77
NC_020250	18
NC_020241	10
NC_020242	9
NC_020243	9
NC_021515	10
NC_021525	9
NC_021516	32
NC_021526	31
NC_021517	38
NC_021518	47
NC_021527	53
NC_021519	75
NC_021528	15
NC_021520	6
NC_018486	163
NC_018501	161
NC_018487	78
NC_018488	73
NC_018502	56
NC_018489	14
NC_018503	7
NC_018490	9
NC_023057	8
NC_020390	7
NC_020377	10
NC_020378	7
NC_020391	18
NC_020379	13
NC_020380	14
NC_020381	44
NC_020392	56
NC_020382	82
NC_020383	94
NC_020393	120
NC_020394	175
NC_020384	259
NC_020385	274
NC_018684	7
NC_018694	70
NC_018685	91
NC_018686	199
NC_018687	158
NC_018688	268
NC_018689	377
NC_008826	621
NC_009806	170
NC_009660	17
NC_018492	202
NC_018493	42
NC_018499	31
NC_018494	2
NC_014159	86
NZ_CP006031	49
NZ_CP008814	44
NZ_CP008815	73
NZ_CP007568	13
NC_011758	323
NC_011760	35
NC_022782	86
NC_022783	10
NZ_CP012161	28
NZ_CP006743	169
NZ_CP006744	92
NZ_CP007617	92
NZ_CP004859	3
NZ_CP004860	334
NZ_CP004861	263
NZ_CP004862	51
NZ_CP004863	18
NZ_CP004864	9
NZ_CP004865	9
NZ_CP004866	11
NZ_CP004867	9
NZ_CP004868	96
NZ_CP004869	77
NZ_CP007664	95
NZ_CP007665	170
NZ_CP005961	402
NZ_CP007702	94
NZ_CP007703	171
NZ_CP007608	0
NZ_CP007609	11
NZ_CP007610	9
NZ_CP007611	10
NZ_CP007612	18
NZ_CP007613	60
NZ_CP007614	96
NZ_CP007615	263
NZ_CP007616	330
NZ_CP004871	66
NZ_CP004872	72
NZ_CP004873	59
NZ_CP004874	79
NZ_CP004875	102
NZ_CP004876	268
NZ_CP004877	341
NZ_CP004878	3
NZ_CP004879	9
NZ_CP004880	9
NZ_CP004881	9
NZ_CP004882	21
NZ_CP004883	18
NZ_CP008847	171
NZ_CP008848	93
NC_017555	31
NC_017556	35
NC_017557	28
NC_018225	72
NC_019975	16
NC_014737	22
NC_010367	30
NC_018611	59
NC_016034	4
NC_016035	3
NC_015658	343
NC_015659	90
NC_019967	266
NC_014300	40
NC_014301	39
NC_014302	17
NC_014303	7
NZ_CP007061	275
NC_006390	38
NC_006391	39
NC_006392	50
NC_006394	166
NC_013748	88
NC_013749	18
NZ_CP007056	466
NZ_CP007057	386
NZ_CP007058	168
NZ_CP007059	120
NC_006389	34
NC_006393	108
NC_006395	344
NC_012030	322
NC_014731	294
NC_014732	166
NC_014735	290
NC_014736	182
NC_010366	138
NC_010368	217
NC_010369	168
NC_013201	163
NC_013744	578
NC_013745	302
NC_013746	148
NC_013747	153
NC_015944	341
NC_014254	108
NC_019976	241
NC_015955	581
NC_015959	23
NC_014298	320
NC_014299	331
NC_015667	170
NC_019963	230
NZ_CP007552	117
NZ_CP007553	271
NZ_CP007554	439
NZ_CP009229	4
NZ_CP008888	5
NZ_CP009441	5
NZ_CP010530	348
NZ_CP010531	90
NZ_CP010532	107
NZ_CP010533	97
NZ_CP010534	57
NZ_CP008875	106
NZ_CP010369	84
NZ_CP010370	56
NZ_CP010903	69
NC_017942	112
NC_017943	267
NC_017944	432
NZ_CP011948	390
NZ_CP011949	300
NZ_CP011950	68
NZ_CP011951	27
NC_019014	7
NC_004720	9
NC_002182	8
NC_004554	1
NC_005838	223
NC_017435	8
NC_017433	8
NC_017284	48
NC_008503	14
NC_008504	11
NC_008505	78
NC_008506	45
NC_008507	10
NC_013657	35
NC_013852	116
NC_013862	38
NC_009467	168
NC_009468	169
NC_009469	73
NC_009470	30
NC_009471	28
NC_009472	6
NC_009473	6
NC_009474	5
NC_013200	61
NC_010379	179
NC_011185	188
NC_003921	36
NC_003922	65
NC_008790	50
NC_008770	47
NC_017298	20
NC_009955	188
NC_009956	132
NC_009957	129
NC_009958	77
NC_009959	72
NC_013531	98
NC_008386	99
NC_008387	57
NC_008388	15
NC_008389	9
NC_014035	142
NC_012654	278
NC_012657	9
NC_009700	20
NC_010605	36
NC_010606	87
NC_010418	306
NC_007801	71
NC_010580	192
NC_010578	43
NC_011879	527
NC_011881	147
NC_007491	276
NC_007486	104
NC_007487	5
NC_007274	132
NC_007275	63
NC_012811	1228
NC_012807	45
NC_012809	39
NC_012810	28
NC_017282	45
NC_017476	65
NC_017438	8
NC_017475	43
NC_015907	27
NC_015903	41
NC_015908	42
NC_015904	42
NC_015909	41
NC_015905	40
NC_015910	43
NC_015906	89
NC_015911	12
NC_015915	25
NC_015922	15
NC_015916	18
NC_015917	22
NC_015918	31
NC_015919	63
NC_015920	32
NC_014824	389
NC_014825	303
NC_014826	16
NC_014827	11
NC_017163	98
NC_017164	8
NC_017220	3
NC_017222	5
NC_016598	6
NC_017496	62
NC_017493	49
NC_017495	14
NC_017497	3
NC_016634	22
NC_015664	9
NC_015657	0
NC_004923	9
NC_004925	6
NC_004924	8
NC_009349	175
NC_009350	168
NC_017189	5
NC_017327	1577
NC_017326	1481
NC_017324	1543
NC_017323	1535
NC_016079	3
NC_008012	30
NC_008013	28
NC_008014	112
NC_015597	248
NC_015592	76
NC_015409	51
NC_017925	5
NZ_CP010107	10
NZ_CP010108	64
NZ_CP010109	78
NZ_CP010110	88
NZ_CP010111	217
NZ_CP010112	242
NZ_CP009109	7
NZ_CP012100	451
NZ_CP012101	304
NZ_CP012102	91
NZ_CP012103	87
NZ_CP012104	61
NZ_CP012105	12
NZ_CP012106	7
NZ_CP012107	7
NZ_CP012108	5
NC_017736	14
NZ_CP010568	8
NZ_CP010570	8
NZ_CP010572	8
NZ_CP007132	8
NC_017794	16
NC_017774	10
NC_017809	5
NC_017775	6
NC_017810	5
NC_017776	7
NC_017777	3
NC_017811	4
NC_017778	149
NC_017779	15
NC_017812	10
NC_017780	10
NC_017813	11
NC_017781	15
NC_017782	12
NC_017814	11
NC_017783	9
NC_017784	9
NC_017815	4
NC_017785	3
NC_017816	2
NC_017795	2
NC_017786	33
NC_017817	30
NC_017796	24
NC_017818	18
NC_017797	23
NC_017798	15
NC_017819	3
NC_017799	2
NC_017800	1
NC_017787	39
NC_017820	4
NC_017788	4
NC_017789	4
NC_017821	3
NC_017801	3
NC_017802	3
NC_017822	17
NZ_CP012188	91
NZ_CP012189	55
NZ_CP012190	62
NZ_CP012191	37
NC_017035	6
NC_016748	14
NC_016746	9
NC_016747	4
NC_016635	3
NC_016606	2
NC_016636	21
NC_016607	19
NC_016608	36
NC_017017	18
NC_017018	16
NC_017019	30
NC_006365	140
NC_006366	53
NC_017805	370
NC_017791	437
NC_017771	221
NC_017792	57
NC_017806	41
NC_017793	34
NC_010123	20
NC_010124	45
NC_017858	54
NC_010555	45
NC_009478	26
NC_009479	67
NC_010529	415
NC_017965	60
NC_012987	132
NC_012989	34
NC_014144	57
NC_016939	14
NC_017055	14
NC_017923	53
NC_018674	20
NC_018698	33
NC_018675	44
NC_018699	38
NC_018635	8
NC_018638	8
NC_018640	8
NC_012176	20
NC_012181	23
NC_012190	21
NC_012132	26
NC_012200	23
NC_012164	67
NC_012173	28
NC_012183	19
NC_018639	8
NC_018657	3
NC_018634	8
NC_018680	54
NC_012129	26
NC_012177	64
NC_012131	31
NC_012133	38
NC_012204	18
NC_012166	32
NC_012130	10
NC_012180	17
NC_012185	76
NC_012128	33
NC_012169	18
NC_019387	263
NC_019388	71
NC_018636	8
NC_014026	12
NC_014028	35
NC_014030	38
NC_014157	56
NC_020128	31
NC_020129	28
NC_020130	111
NC_019430	84
NC_019431	56
NC_019436	36
NC_019432	12
NC_019437	11
NC_019433	5
NC_019434	5
NC_019438	2
NC_018146	23
NC_018147	18
NC_018148	11
NC_019397	221
NC_019956	128
NC_019941	80
NC_019394	282
NC_019937	14
NC_019938	16
NC_019939	3
NC_020053	422
NC_019698	25
NC_020060	206
NC_020061	515
NC_020062	1876
NC_017957	571
NC_017966	591
NC_017958	930
NC_017959	70
NC_011355	98
NC_018022	566
NC_018023	115
NC_020522	77
NC_021049	8
NC_021051	8
NC_020907	62
NC_019957	328
NC_019958	228
NC_019959	182
NC_020909	140
NC_020910	171
NC_020527	1305
NC_020560	1538
NC_021503	48
NC_021495	19
NC_021496	51
NC_021504	15
NC_021497	12
NC_021498	4
NC_021277	17
NC_021183	49
NC_016646	378
NC_021886	5
NC_020542	253
NC_020562	172
NC_020543	48
NC_020544	43
NC_020563	36
NC_021668	26
NC_021662	6
NC_021669	5
NC_021722	31
NC_022111	1371
NC_021730	9
NC_021731	90
NC_021732	23
NC_021734	52
NC_019428	90
NC_019429	52
NC_019440	18
NC_022225	59
NC_021918	51
NC_022271	94
NC_020275	123
NC_020276	23
NC_022042	101
NC_022049	379
NC_022043	267
NC_022044	172
NC_022050	201
NC_021727	90
NC_021728	22
NC_022114	29
NC_022123	66
NC_021278	172
NC_021279	111
NC_021906	168
NC_021907	234
NC_021910	246
NC_021908	485
NC_021909	552
NC_021911	1006
NC_022125	101
NC_022551	7
NC_022355	63
NC_022348	4
NC_022436	72
NC_022656	32
NC_022739	363
NC_022654	153
NC_006569	458
NC_023144	335
NC_023145	3
NZ_CP007052	2
NZ_CP007046	613
NZ_CP007047	481
NZ_CP007048	317
NZ_CP007049	246
NZ_CP007050	234
NZ_CP003710	29
NZ_CP003711	26
NZ_CP003712	50
NZ_CP003713	28
NZ_CP003714	23
NZ_CP004351	3
NZ_CP004352	16
NZ_CP007063	7
NZ_CP005681	15
NZ_CP005682	14
NZ_CP005683	3
NZ_CP005684	40
NZ_CP005685	20
NZ_CP005686	4
NZ_CP005687	10
NZ_CP005688	27
NZ_CP005689	4
NZ_CP005690	135
NZ_CP005691	6
NZ_CP005692	14
NZ_CP005693	21
NZ_CP005694	4
NZ_CP005695	6
NZ_CP005696	3
NZ_CP005697	7
NZ_CP005698	3
NZ_CP005699	4
NZ_CP005700	7
NZ_CP005701	2
NZ_CP005702	4
NZ_CP005703	5
NZ_CP005704	13
NZ_CP005705	4
NZ_CP007015	65
NZ_CP007066	12
NZ_CP006964	10
NZ_CP006572	7
NZ_CP007184	44
NZ_CP007185	3
NZ_CP007186	3
NZ_CP007187	4
NZ_CP007180	52
NZ_CP007227	537
NZ_CP007228	190
NZ_CP009352	6
NC_010510	493
NC_010509	48
NC_010514	35
NC_010517	36
NC_010518	28
NC_010502	21
NC_010504	16
NC_010507	22
NZ_CP007515	180
NZ_CP007516	135
NZ_CP007517	49
NZ_CP006697	39
NZ_CP007510	136
NZ_CP006739	33
NZ_CP005987	175
NZ_CP005988	29
NZ_CP005989	7
NZ_CP006987	216
NZ_CP006988	337
NZ_CP006989	429
NZ_CP006990	661
NZ_CP006991	674
NZ_CP007209	33
NZ_CP006582	182
NZ_CP006583	318
NZ_CP007740	72
NZ_CP007741	17
NZ_CP008877	87
NZ_CP008890	79
NZ_CP008945	48
NZ_CP007807	30
NZ_CP007808	5
NZ_CP009055	35
NZ_CP009118	26
NZ_CP009119	64
NZ_CP009213	26
NZ_CP009214	67
NZ_CP007723	12
NZ_CP007725	12
NZ_CP008817	165
NZ_CP008818	106
NZ_CP009263	5
NZ_CP009145	1406
NZ_CP009146	1462
NZ_CP007621	6
NZ_CP007622	6
NZ_CP007623	12
NZ_CP007624	123
NZ_CP007625	286
NC_022354	52
NZ_CP009532	5
NZ_CP009047	47
NZ_CP009572	135
NZ_CP009573	42
NZ_CP007636	193
NZ_CP009584	4
NZ_CP006765	23
NZ_CP007556	46
NZ_CP009292	640
NZ_CP009293	313
NZ_CP009294	183
NZ_CP009295	123
NZ_CP009296	79
NZ_CP009130	3
NZ_CP009266	349
NZ_LK021128	61
NZ_CP006904	56
NZ_CP009963	48
NZ_CP006906	197
NZ_CP009939	71
NZ_CP009940	176
NZ_CP009123	188
NZ_CP010090	345
NZ_CP010091	237
NZ_CP010092	133
NZ_CP010093	83
NZ_CP010094	54
NZ_CP010095	66
NZ_CP010096	22
NZ_CP010097	18
NZ_CP010098	11
NZ_CP010099	8
NZ_CP010398	123
NZ_CP010399	55
NZ_CP010400	11
NZ_CP009975	629
NZ_CP010410	434
NZ_CP010343	94
NC_002489	1
NC_002490	66
NZ_CP006855	36
NZ_CP006856	65
NZ_CP006909	287
NZ_CP006901	304
NZ_CP010416	9
NZ_CP010417	10
NZ_CP010418	51
NZ_CP010419	62
NZ_CP010420	121
NZ_CP010421	305
NZ_CP004389	193
NZ_CP009417	722
NZ_CP007642	414
NZ_CP007643	470
NZ_CP007644	645
NZ_CP007645	677
NC_004565	88
NC_003296	1577
NC_009136	9
NC_008498	15
NC_008499	34
NC_010715	16
NC_010724	9
NC_007323	95
NC_007322	171
NC_013516	8
NC_013888	12
NC_010940	4
NC_010941	4
NC_010942	6
NC_013770	40
NC_013356	53
NC_013357	32
NC_013358	6
NC_009429	823
NC_009430	263
NC_009431	113
NC_009432	35
NC_009433	14
NC_014409	4
NC_012624	51
NC_009998	70
NC_009999	75
NC_010000	53
NC_010579	42
NC_013224	44
NC_009726	62
NC_010115	42
NC_013129	64
NC_017404	21
NC_017425	42
NC_017409	17
NC_017393	41
NC_017394	83
NC_017426	43
NC_017410	16
NC_017405	23
NC_017411	26
NC_017395	26
NC_017406	16
NC_017407	28
NC_017412	34
NC_017427	41
NC_017396	41
NC_017397	42
NC_017428	42
NC_017408	31
NC_017413	21
NC_017288	8
NC_015632	9
NC_011526	45
NC_011961	812
NC_013742	4
NC_013408	11
NC_013409	2
NC_013157	31
NC_010549	5
NC_010550	2
NC_009777	94
NC_010680	50
NC_008712	277
NC_008713	279
NC_015679	6
NC_015471	55
NC_008598	72
NC_009506	10
NC_015461	8
NC_017483	42
NC_017487	35
NC_017484	30
NC_017485	7
NC_017488	4
NC_015430	18
NC_013442	73
NC_014957	33
NC_015386	164
NC_016149	28
NC_010727	27
NC_010721	25
NC_016637	13
NC_014149	53
NC_014389	413
NC_014390	191
NC_015390	51
NC_015686	179
NC_015688	8
NC_017296	179
NC_016905	71
NC_015741	87
NC_015728	93
NC_015729	54
NC_007349	22
NC_017738	12
NC_015219	19
NC_012516	38
NC_012517	30
NC_012507	19
NC_012508	32
NC_012510	42
NC_012513	26
NC_012500	16
NC_012501	27
NC_012503	16
NC_012505	65
NC_012495	32
NC_012511	42
NC_012498	21
NC_012514	42
NC_012502	36
NT_187139	14
NT_187136	8
NT_187137	14
NT_187140	21
NT_187141	17
NT_187142	25
NT_187138	16
NT_187143	21
NT_187144	2
NT_187145	5
NC_015417	208
NC_015426	93
NC_015418	84
NC_015427	47
NC_015419	12
NC_018637	8
NC_012194	64
NC_012203	32
NC_012149	42
NC_012170	20
NC_012152	42
NC_012156	41
NC_012158	41
NC_012202	58
NC_012227	18
NC_012228	20
NC_012154	41
NC_012157	26
NC_016750	16
NC_020196	6
NC_017575	1494
NC_012235	27
NC_012254	42
NC_012258	43
NC_012263	26
NC_012246	29
NC_012249	21
NC_012250	41
NC_012237	19
NC_012255	42
NC_012259	43
NC_012244	64
NC_012269	9
NC_012231	22
NC_012198	32
NC_012162	19
NC_012148	41
NC_012151	26
NC_012175	64
NC_012189	32
NC_012159	41
NC_012160	41
NC_012150	42
NC_012171	20
NC_012153	26
NC_012187	24
NC_012195	32
NC_012197	16
NC_012161	42
NC_012167	32
NC_012178	15
NC_012155	9
NC_012188	12
NC_012192	6
NC_016837	23
NC_011874	26
NC_011876	65
NC_011865	15
NC_011843	41
NC_011870	24
NC_011846	17
NC_011872	31
NC_011849	42
NC_011851	42
NC_011863	17
NC_011841	42
NC_011868	26
NC_011845	30
NC_011847	42
NC_011850	42
NC_011853	27
NC_011862	28
NC_011864	18
NC_011866	20
NC_020303	75
NC_011223	11
NC_011225	37
NC_019972	249
NC_017172	24
NC_018291	232
NC_018287	62
NC_018288	49
NC_020165	6
NC_020274	17
NC_020264	7
NC_020265	4
NC_020266	22
NC_020267	21
NC_020268	10
NC_020269	2
NC_017585	1608
NC_015845	33
NC_020523	5
NC_020553	82
NC_014172	268
NC_018742	168
NC_018749	82
NC_018743	33
NC_018744	24
NC_018745	24
NC_018026	24
NC_020292	106
NT_187163	186
NT_187151	144
NT_187152	35
NT_187164	33
NT_187153	24
NT_187154	8
NT_187165	14
NT_187155	10
NT_187166	10
NT_187156	5
NT_187157	10
NT_187167	6
NT_187158	4
NT_187159	7
NT_187168	6
NT_187160	4
NT_187162	4
NT_187161	2
NT_187169	4
NC_016907	162
NC_017848	100
NC_020524	119
NC_022901	49
NC_022913	29
NC_022902	29
NC_022903	26
NC_022910	24
NC_001773	2
NC_015689	127
NC_015685	166
NC_021903	15
NC_021904	38
NC_021912	37
NC_022601	18
NC_022607	16
NC_022602	44
NC_022603	62
NC_022608	14
NC_019789	557
NC_019790	74
NC_021718	283
NC_020305	43
NC_021987	148
NC_021995	74
NC_021988	39
NC_021989	9
NC_021996	5
NC_021990	2
NC_021745	1602
NC_020797	62
NC_020798	53
NC_020801	34
NC_021361	68
NC_019906	90
NZ_CP003716	29
NZ_CP003717	27
NZ_CP003718	50
NZ_CP003719	23
NC_019961	5
NC_019969	4
NC_023138	233
NC_023148	141
NC_023139	109
NC_023140	62
NC_023141	80
NC_023142	49
NC_023143	53
NC_011339	224
NC_011340	14
NC_011341	11
NC_011342	34
NC_011337	90
NC_011338	2
NZ_CP007182	52
NC_020994	62
NC_023031	123
NC_019985	56
NC_019772	153
NC_020157	144
NC_019773	130
NC_019774	69
NC_020056	18
NC_019775	24
NZ_CP004007	43
NC_023147	12
NZ_CP007157	57
NC_021920	39
NC_022587	5
NZ_CP007042	2
NZ_CP007043	4
NC_015742	158
NZ_CP003916	25
NC_023146	198
NC_023136	258
NZ_CP007162	20
NZ_CP007163	5
NZ_CP007164	4
NC_020124	16
NC_022874	48
NC_022875	57
NC_022876	161
NC_022877	170
NC_022882	250
NZ_CP007647	216
NZ_CP007648	152
NZ_CP007649	106
NZ_CP007650	33
NZ_CP009657	66
NZ_CP009658	33
NZ_CP009659	38
NZ_CP009660	42
NZ_CP009661	44
NZ_CP009662	42
NZ_CP009663	43
NZ_CP009664	42
NZ_CP009665	44
NZ_CP009666	41
NZ_CP009667	34
NZ_CP009668	25
NZ_CP009669	27
NZ_CP009670	26
NZ_CP009671	27
