	locus	Genus	Species	environment	character	IS26	length	CDS
4144	NZ_CP012642	Massilia	sp.		static		14623.0	14.0
4145	NZ_CP013056	Bacillus	thuringiensis		mosaic		250706.0	228.0
4146	NZ_CP013057	Bacillus	thuringiensis		mosaic		84491.0	91.0
4147	NZ_CP013058	Bacillus	thuringiensis		mosaic		82531.0	93.0
4148	NZ_CP013059	Bacillus	thuringiensis		mosaic		80699.0	82.0
4149	NZ_CP013060	Bacillus	thuringiensis		mosaic		46634.0	66.0
4150	NZ_CP013061	Bacillus	thuringiensis		mosaic		8512.0	9.0
4151	NZ_CP013332	Fusobacterium	hwasookii		static		52443.0	57.0
4152	NZ_CP013333	Fusobacterium	hwasookii		static		15572.0	16.0
4153	NZ_CP012185	Pseudonocardia	sp.		mosaic		850061.0	778.0
4154	NZ_CP012186	Pseudonocardia	sp.		mosaic		206535.0	204.0
4155	NC_022742	Escherichia	coli		mosaic		88546.0	98.0
4156	NC_022743	Escherichia	coli		mosaic		75569.0	97.0
4157	NC_022741	Escherichia	coli		mosaic		1549.0	2.0
4158	NZ_LN868939	Nocardia	farcinica		static		2657929.0	2417.0
4159	NZ_LN868940	Nocardia	farcinica		static		15090.0	20.0
4160	NZ_LN868941	Nocardia	farcinica		static		96708.0	97.0
4161	NZ_LN868942	Nocardia	farcinica		static		41291.0	44.0
4162	NZ_CP013179	Aeromonas	hydrophila		mosaic		6318.0	8.0
4163	NZ_CP013180	Aeromonas	hydrophila		mosaic		6162.0	7.0
4164	NZ_CP013181	Aeromonas	hydrophila		mosaic		6045.0	7.0
4165	NZ_CP013298	Arthrobacter	sp.		static		112763.0	96.0
4166	NZ_CP013299	Arthrobacter	sp.		static		59604.0	60.0
4167	NC_022344	Pseudomonas	aeruginosa		mosaic		500839.0	544.0
4168	NZ_CP010414	Bifidobacterium	breve		static		4891.0	5.0
4169	NZ_CP011513	Paenibacillus	peoriae		static		213282.0	218.0
4170	NZ_CP013273	Bacillus	thuringiensis		static		25529.0	42.0
4171	NZ_CP012182	Pseudonocardia	sp.		mosaic		874997.0	807.0
4172	NZ_CP012183	Pseudonocardia	sp.		mosaic		118633.0	101.0
4173	NZ_CP010454	Bifidobacterium	longum		static		2638.0	2.0
4174	NZ_CP009558	Clostridium	perfringens		mosaic		56577.0	59.0
4175	NZ_CP012651	Lactobacillus	plantarum		mosaic		49656.0	52.0
4176	NZ_CP012652	Lactobacillus	plantarum		mosaic		46011.0	57.0
4177	NZ_CP012653	Lactobacillus	plantarum		static		11851.0	18.0
4178	NZ_CP012654	Lactobacillus	plantarum		static		3868.0	2.0
4179	NZ_CP012655	Lactobacillus	plantarum		mosaic		56046.0	59.0
4180	NZ_CP012656	Lactobacillus	plantarum		static		8437.0	12.0
4181	NZ_CP012657	Lactobacillus	plantarum		mosaic		84759.0	93.0
4182	NZ_CP012658	Lactobacillus	plantarum		static		5603.0	6.0
4183	NZ_CP012659	Lactobacillus	plantarum		mosaic		41853.0	48.0
4184	NZ_CP012660	Lactobacillus	plantarum		static		29950.0	30.0
4185	NZ_CP005971	Pseudomonas	syringae		static		63004.0	69.0
4186	NZ_CP010990	Pseudonocardia	sp.		mosaic		297301.0	261.0
4187	NZ_CP010991	Pseudonocardia	sp.		mosaic		121382.0	112.0
4188	NZ_CP006993	Methylobacterium	sp.		static		117697.0	154.0
4189	NZ_CP006994	Methylobacterium	sp.		static		25608.0	24.0
4190	NZ_CP006995	Methylobacterium	sp.		static		20451.0	26.0
4191	NZ_CP014177	Bacillus	anthracis		mosaic		181677.0	170.0
4192	NZ_CP014178	Bacillus	anthracis		mosaic		94830.0	95.0
4193	NZ_AP014801	Rhodovulum	sulfidophilum		static		111306.0	87.0
4194	NZ_AP014802	Rhodovulum	sulfidophilum		static		106137.0	87.0
4195	NZ_AP014803	Rhodovulum	sulfidophilum		static		60897.0	47.0
4196	NZ_AP014865	Bacillus	thuringiensis		mosaic		437451.0	332.0
4197	NZ_AP014866	Bacillus	thuringiensis		mosaic		293217.0	264.0
4198	NZ_AP014867	Bacillus	thuringiensis		mosaic		130548.0	107.0
4199	NZ_AP014868	Bacillus	thuringiensis		mosaic		54355.0	51.0
4200	NZ_AP014869	Bacillus	thuringiensis		mosaic		23773.0	29.0
4201	NZ_AP014870	Bacillus	thuringiensis		static		14827.0	20.0
4202	NZ_AP014871	Bacillus	thuringiensis		mosaic		11769.0	18.0
4203	NZ_AP014872	Bacillus	thuringiensis		static		7812.0	8.0
4204	NZ_CP014216	Acinetobacter	baumannii		mosaic		74241.0	100.0
4205	NZ_CP014217	Acinetobacter	baumannii		mosaic		5465.0	7.0
4206	NZ_AP014713	Helicobacter	pylori		static		6220.0	8.0
4207	NZ_CP012742	Streptococcus	agalactiae		mosaic		4944.0	6.0
4208	NZ_CP014058	Staphylococcus	saprophyticus		mosaic		27919.0	23.0
4209	NZ_CP014114	Staphylococcus	saprophyticus		mosaic		36907.0	30.0
4210	NZ_CP014115	Staphylococcus	saprophyticus		mosaic		29612.0	27.0
4211	NZ_CP014068	Enterococcus	gallinarum		static		88121.0	90.0
4212	NZ_CP014059	Achromobacter	xylosoxidans		mosaic		21968.0	26.0
4213	NZ_CP013929	Alteromonas	mediterranea		mosaic		287708.0	249.0
4214	NZ_CP013927	Alteromonas	stellipolaris		mosaic		252173.0	243.0
4215	NZ_CP014345	Campylobacter	jejuni		static		81079.0	80.0
4216	NZ_CP014472	Bacillus	subtilis		static		5820.0	6.0
4217	NZ_CP014473	Bacillus	subtilis		mosaic		65774.0	83.0
4218	NZ_CP014329	Corynebacterium	glutamicum		static		48334.0	38.0
4219	NZ_CP012912	Streptococcus	suis		static		11393.0	15.0
4220	NZ_CP012913	Streptococcus	suis		static		5581.0	6.0
4221	NZ_CP013668	Coxiella	burnetii		mosaic		37320.0	42.0
4222	NZ_CP014355	Coxiella	burnetii		mosaic		37397.0	43.0
4223	NZ_CP012962	Rhodobacter	sphaeroides		mosaic		152955.0	146.0
4224	NZ_CP012963	Rhodobacter	sphaeroides		mosaic		124323.0	109.0
4225	NZ_CP012964	Rhodobacter	sphaeroides		mosaic		114198.0	104.0
4226	NZ_CP012965	Rhodobacter	sphaeroides		static		107170.0	90.0
4227	NZ_CP012966	Rhodobacter	sphaeroides		static		18815.0	14.0
4228	NZ_CP012967	Rhodobacter	sphaeroides		static		18186.0	14.0
4229	NC_012226	Brachyspira	hyodysenteriae		static		35940.0	33.0
4230	NC_012752	Candidatus	Hamiltonella		static		59032.0	64.0
4231	NZ_CP014478	Acinetobacter	pittii		mosaic		146597.0	143.0
4232	NZ_CP014479	Acinetobacter	pittii		mosaic		36862.0	43.0
4233	NZ_CP011023	Bacillus	pumilus		static		91229.0	104.0
4234	NZ_CP013041	Clostridium	perfringens		static		72549.0	70.0
4235	NZ_CP013042	Clostridium	perfringens		mosaic		36664.0	42.0
4236	NZ_CP013043	Clostridium	perfringens		static		58447.0	63.0
4237	NZ_CP013044	Clostridium	perfringens		static		42209.0	39.0
4238	NZ_CP013045	Clostridium	perfringens		static		14060.0	15.0
4239	NZ_CP013038	Clostridium	perfringens		static		14657.0	16.0
4240	NZ_CP013039	Clostridium	perfringens		mosaic		48597.0	54.0
4241	NZ_CP013040	Clostridium	perfringens		static		72750.0	67.0
4242	NZ_CP013615	Clostridium	perfringens		static		404393.0	458.0
4243	NZ_CP014276	Martelella	sp.		static		314776.0	284.0
4244	NZ_CP014277	Martelella	sp.		static		166530.0	162.0
4245	NZ_CP011009	Bacillus	simplex		static		176219.0	157.0
4246	NZ_CP012203	Alteromonas	macleodii		static		148934.0	158.0
4247	NZ_CP014644	Lysinibacillus	sphaericus		static		176083.0	201.0
4248	NZ_CP014743	Campylobacter	jejuni		mosaic		119543.0	116.0
4249	NZ_CP011829	Enterococcus	faecium		mosaic		229882.0	241.0
4250	NZ_CP011830	Enterococcus	faecium		mosaic		38512.0	48.0
4251	NZ_CP011831	Enterococcus	faecium		mosaic		10839.0	11.0
4252	NZ_CP014745	Campylobacter	jejuni		mosaic		116883.0	108.0
4253	NZ_CP014746	Campylobacter	jejuni		static		36602.0	46.0
4254	NZ_CP012940	Ralstonia	solanacearum		mosaic		1932001.0	1476.0
4255	NZ_CP012941	Ralstonia	solanacearum		mosaic		116523.0	90.0
4256	NZ_CP012942	Ralstonia	solanacearum		mosaic		37782.0	39.0
4257	NZ_CP012944	Ralstonia	solanacearum		mosaic		2069788.0	1537.0
4258	NZ_CP014283	Bacillus	thuringiensis		static		635508.0	503.0
4259	NZ_CP014284	Bacillus	thuringiensis		static		293705.0	255.0
4260	NZ_CP014285	Bacillus	thuringiensis		static		55372.0	82.0
4261	NZ_CP014286	Bacillus	thuringiensis		static		54205.0	72.0
4262	NZ_CP014287	Bacillus	thuringiensis		static		41937.0	54.0
4263	NZ_CP014288	Bacillus	thuringiensis		static		12487.0	12.0
4264	NZ_CP014289	Bacillus	thuringiensis		static		46165.0	14.0
4265	NZ_CP014290	Bacillus	thuringiensis		static		7486.0	8.0
4266	NZ_CP006368	Aureimonas	sp.		static		488888.0	414.0
4267	NZ_CP006369	Aureimonas	sp.		static		436017.0	395.0
4268	NZ_CP006370	Aureimonas	sp.		static		311483.0	272.0
4269	NZ_CP006371	Aureimonas	sp.		mosaic		101355.0	86.0
4270	NZ_CP006372	Aureimonas	sp.		mosaic		57210.0	45.0
4271	NZ_CP006373	Aureimonas	sp.		static		35461.0	30.0
4272	NZ_CP006374	Aureimonas	sp.		static		28258.0	36.0
4273	NZ_CP006375	Aureimonas	sp.		static		9393.0	2.0
4274	NZ_CP014508	Burkholderia	sp.		mosaic		286935.0	277.0
4275	NZ_CP014509	Burkholderia	sp.		mosaic		62715.0	60.0
4276	NZ_CP014510	Burkholderia	sp.		static		52585.0	51.0
4277	NZ_CP014511	Burkholderia	sp.		static		20973.0	22.0
4278	NZ_CP014512	Burkholderia	sp.		static		6086.0	9.0
4279	NZ_CP013265	Sphingobium	baderi		mosaic		229716.0	235.0
4280	NZ_CP013266	Sphingobium	baderi		mosaic		85174.0	99.0
4281	NZ_CP013267	Sphingobium	baderi		mosaic		73561.0	86.0
4282	NZ_CP013268	Sphingobium	baderi		mosaic		43676.0	42.0
4283	NZ_CP013269	Sphingobium	baderi		mosaic		21405.0	19.0
4284	NZ_CP013270	Sphingobium	baderi		static		10566.0	11.0
4285	NZ_CP013271	Sphingobium	baderi		static		6108.0	11.0
4286	NZ_CP013272	Sphingobium	baderi		static		5818.0	8.0
4287	NZ_CP013003	Caulobacter	henricii		static		93084.0	92.0
4288	NZ_CP013294	Chryseobacterium	sp.		static		5558.0	6.0
4289	NZ_CP013201	Arthrobacter	alpinus		static		11169.0	14.0
4290	NZ_CP013945	Piscirickettsia	salmonis		mosaic		57427.0	63.0
4291	NZ_CP013946	Piscirickettsia	salmonis		mosaic		179831.0	211.0
4292	NZ_CP013947	Piscirickettsia	salmonis		mosaic		33556.0	45.0
4293	NZ_CP013948	Piscirickettsia	salmonis		mosaic		51569.0	58.0
4294	NZ_CP014235	Moraxella	osloensis		static		81455.0	74.0
4295	NZ_CP014236	Moraxella	osloensis		mosaic		57463.0	63.0
4296	NZ_CP014237	Moraxella	osloensis		mosaic		35189.0	30.0
4297	NZ_CP014238	Moraxella	osloensis		static		40342.0	41.0
4298	NZ_CP013976	Piscirickettsia	salmonis		mosaic		115926.0	144.0
4299	NZ_CP013977	Piscirickettsia	salmonis		mosaic		33498.0	43.0
4300	NZ_CP013978	Piscirickettsia	salmonis		mosaic		68882.0	71.0
4301	NZ_CP014751	Thermococcus	peptonophilus		static		49106.0	56.0
4302	NZ_CP013660	Planococcus	kocurii		static		13524.0	14.0
4303	NZ_CP011928	Labrenzia	sp.		static		98619.0	112.0
4304	NZ_CP012707	Psychrobacter	urativorans		static		24169.0	24.0
4305	NZ_CP012708	Psychrobacter	urativorans		static		15605.0	14.0
4306	NZ_CP012709	Psychrobacter	urativorans		static		24210.0	23.0
4307	NZ_CP012710	Psychrobacter	urativorans		static		16222.0	12.0
4308	NZ_CP012711	Psychrobacter	urativorans		static		49020.0	43.0
4309	NZ_CP014328	Halocynthiibacter	arcticus		static		46566.0	40.0
4310	NZ_CP014481	Kocuria	turfanensis		mosaic		160938.0	155.0
4311	NZ_CP014482	Kocuria	turfanensis		static		134899.0	129.0
4312	NZ_CP014483	Kocuria	turfanensis		mosaic		69617.0	69.0
4313	NZ_CP014484	Kocuria	turfanensis		static		52020.0	46.0
4314	NZ_CP014857	Lysinibacillus	sphaericus		static		173793.0	200.0
4315	NZ_CP014846	Cupriavidus	nantongensis		mosaic		60711.0	60.0
4316	NZ_CP014848	Bacillus	thuringiensis		static		17228.0	26.0
4317	NZ_CP014849	Bacillus	thuringiensis		mosaic		38333.0	49.0
4318	NZ_CP014850	Bacillus	thuringiensis		static		39023.0	52.0
4319	NZ_CP014851	Bacillus	thuringiensis		mosaic		112429.0	115.0
4320	NZ_CP014852	Bacillus	thuringiensis		mosaic		161353.0	178.0
4321	NZ_CP014853	Bacillus	thuringiensis		mosaic		345196.0	260.0
4322	NC_005023	Acidithiobacillus	ferridurans		static		19792.0	13.0
4323	NC_021207	Thermococcus	prieurii		static		3126.0	3.0
4324	NC_021208	Thermococcus	prieurii		static		2038.0	5.0
4325	NZ_CP013664	Xanthomonas	citri		mosaic		64919.0	64.0
4326	NZ_CP013665	Xanthomonas	citri		mosaic		33703.0	35.0
4327	NZ_CP012899	Burkholderia	sp.		static		419743.0	374.0
4328	NZ_CP014946	Psychrobacter	alimentarius		static		16905.0	17.0
4329	NZ_CP015032	Burkholderia	cenocepacia		static		244120.0	210.0
4330	NZ_CP011106	Legionella	pneumophila		mosaic		143694.0	152.0
4331	NZ_CP014336	Geobacillus	thermoleovorans		static		48708.0	48.0
4332	NZ_CP011128	Dehalococcoides	mccartyi		static		5939.0	6.0
4333	NZ_CP013343	Sphingopyxis	terrae		mosaic		4328.0	5.0
4334	NZ_CP012270	Pediococcus	damnosus		static		11689.0	12.0
4335	NZ_CP012271	Pediococcus	damnosus		static		17502.0	17.0
4336	NZ_CP012272	Pediococcus	damnosus		mosaic		30044.0	29.0
4337	NZ_CP012273	Pediococcus	damnosus		static		34005.0	39.0
4338	NZ_CP012274	Pediococcus	damnosus		static		34283.0	40.0
4339	NZ_CP012276	Pediococcus	damnosus		mosaic		56551.0	57.0
4340	NZ_CP012277	Pediococcus	damnosus		static		19671.0	22.0
4341	NZ_CP012278	Pediococcus	damnosus		mosaic		61853.0	60.0
4342	NZ_CP012279	Pediococcus	damnosus		static		38024.0	44.0
4343	NZ_CP012280	Pediococcus	damnosus		mosaic		25485.0	25.0
4344	NZ_CP012281	Pediococcus	damnosus		mosaic		14075.0	13.0
4345	NZ_CP012282	Pediococcus	damnosus		static		39658.0	48.0
4346	NZ_CP012284	Pediococcus	damnosus		static		11687.0	12.0
4347	NZ_CP012285	Pediococcus	damnosus		mosaic		30044.0	28.0
4348	NZ_CP012286	Pediococcus	damnosus		static		34005.0	39.0
4349	NZ_CP012287	Pediococcus	damnosus		static		33075.0	38.0
4350	NZ_CP013345	Sphingopyxis	macrogoltabida		mosaic		421025.0	386.0
4351	NZ_CP013346	Sphingopyxis	macrogoltabida		mosaic		151240.0	133.0
4352	NZ_CP012295	Pediococcus	damnosus		static		7678.0	9.0
4353	NZ_CP012296	Pediococcus	damnosus		mosaic		40553.0	52.0
4354	NZ_CP012289	Pediococcus	damnosus		mosaic		21309.0	23.0
4355	NZ_CP012290	Pediococcus	damnosus		mosaic		55446.0	47.0
4356	NZ_CP012291	Pediococcus	damnosus		mosaic		143870.0	141.0
4357	NZ_CP012292	Pediococcus	damnosus		static		39697.0	48.0
4358	NZ_CP012293	Pediococcus	damnosus		static		1830.0	3.0
4359	NZ_CP013912	Staphylococcus	haemolyticus		mosaic		10808.0	10.0
4360	NZ_CP015127	Lactobacillus	plantarum		mosaic		1949.0	1.0
4361	NZ_CP015128	Lactobacillus	plantarum		static		6404.0	7.0
4362	NZ_CP015129	Lactobacillus	plantarum		static		11326.0	13.0
4363	NZ_CP015146	Acinetobacter	pittii		static		10498.0	12.0
4364	NZ_CP015147	Acinetobacter	pittii		static		5562.0	5.0
4365	NZ_CP015148	Acinetobacter	pittii		static		5813.0	6.0
4366	NZ_KT072713	Acinetobacter	bereziniae		mosaic		44560.0	54.0
4367	NZ_CP015151	Bacillus	thuringiensis		mosaic		14888.0	18.0
4368	NZ_CP015152	Bacillus	thuringiensis		mosaic		171171.0	156.0
4369	NZ_CP015153	Bacillus	thuringiensis		mosaic		42357.0	43.0
4370	NZ_CP015154	Bacillus	thuringiensis		mosaic		82417.0	82.0
4371	NZ_CP015155	Bacillus	thuringiensis		mosaic		83987.0	90.0
4372	NZ_CP015156	Bacillus	thuringiensis		mosaic		89350.0	93.0
4373	NZ_CP015063	Mesorhizobium	ciceri		static		648231.0	603.0
4374	NZ_CP015065	Mesorhizobium	ciceri		static		553641.0	511.0
4375	NZ_CP015236	Rhodococcus	fascians		static		197397.0	172.0
4376	NZ_CP015237	Rhodococcus	fascians		static		164725.0	163.0
4377	NZ_CP013125	Pseudomonas	mendocina		static		252328.0	320.0
4378	NC_017962	Enterococcus	faecium		mosaic		66247.0	85.0
4379	NC_017963	Enterococcus	faecium		mosaic		251926.0	283.0
4380	NZ_CP011121	Acetobacter	sp.		mosaic		165374.0	169.0
4381	NZ_CP011122	Acetobacter	sp.		static		116245.0	111.0
4382	NZ_CP011123	Acetobacter	sp.		static		25290.0	34.0
4383	NZ_CP011413	Sedimenticola	thiotaurini		static		33340.0	37.0
4384	NZ_CP015422	Rhodovulum	sulfidophilum		mosaic		113522.0	92.0
4385	NZ_CP015419	Rhodovulum	sulfidophilum		mosaic		113163.0	92.0
4386	NZ_CP015420	Rhodovulum	sulfidophilum		static		102180.0	81.0
4387	NZ_LT546646	Bordetella	trematum		static		5396.0	6.0
4388	NZ_CP011159	Moraxella	ovis		static		40581.0	46.0
4389	NZ_CP011408	Vibrio	parahaemolyticus		static		51383.0	48.0
4390	NZ_CP011282	Enterococcus	faecium		mosaic		152440.0	167.0
4391	NZ_CP011283	Enterococcus	faecium		mosaic		58197.0	64.0
4392	NZ_CP011284	Enterococcus	faecium		mosaic		37865.0	41.0
4393	NZ_CP011285	Enterococcus	faecium		mosaic		13141.0	13.0
4394	NZ_CP015123	Enterococcus	faecium		mosaic		56285.0	63.0
4395	NZ_CP011156	Bacillus	cereus		static		435420.0	370.0
4396	NZ_CP011157	Bacillus	cereus		static		141238.0	137.0
4397	NZ_CP011152	Bacillus	cereus		mosaic		591110.0	471.0
4398	NZ_CP011154	Bacillus	cereus		mosaic		591112.0	474.0
4399	NZ_CP015323	Bacillus	endophyticus		static		95077.0	92.0
4400	NZ_CP015324	Bacillus	endophyticus		static		58079.0	54.0
4401	NZ_CP015325	Bacillus	endophyticus		static		84656.0	93.0
4402	NZ_CP015326	Bacillus	endophyticus		static		69170.0	59.0
4403	NZ_CP015327	Bacillus	endophyticus		static		56750.0	55.0
4404	NZ_CP015328	Bacillus	endophyticus		static		69165.0	75.0
4405	NZ_CP015329	Bacillus	endophyticus		static		10461.0	12.0
4406	NZ_CP015330	Bacillus	endophyticus		static		5053.0	5.0
4407	NZ_CP015372	Pandoraea	pnomenusa		mosaic		121451.0	137.0
4408	NZ_CP015373	Pandoraea	pnomenusa		mosaic		85291.0	86.0
4409	NZ_CP015374	Pandoraea	pnomenusa		mosaic		29016.0	31.0
4410	NZ_CP015119	Yersinia	pestis		mosaic		103606.0	113.0
4411	NC_020894	Streptomyces	hygroscopicus		static		164565.0	154.0
4412	NC_020293	Streptomyces	hygroscopicus		static		73285.0	73.0
4413	NC_013596	Streptosporangium	roseum		static		28204.0	33.0
4414	NZ_CP015441	Erythrobacter	atlanticus		static		213959.0	222.0
4415	NZ_CP005190	Sphingobium	sp.		mosaic		292135.0	295.0
4416	NZ_CP005191	Sphingobium	sp.		mosaic		287488.0	324.0
4417	NZ_CP005192	Sphingobium	sp.		mosaic		88374.0	99.0
4418	NZ_CP005193	Sphingobium	sp.		mosaic		32974.0	41.0
4419	NC_021832	Spiroplasma	taiwanense		static		11138.0	15.0
4420	NZ_CP015517	Enterococcus	hirae		mosaic		73574.0	73.0
4421	NC_022001	Streptomyces	collinus		static		85047.0	76.0
4422	NC_021986	Streptomyces	collinus		static		19314.0	31.0
4423	NC_019893	Singulisphaera	acidiphila		static		54731.0	29.0
4424	NC_019894	Singulisphaera	acidiphila		static		39149.0	51.0
4425	NC_019895	Singulisphaera	acidiphila		static		32131.0	31.0
4426	NZ_KU499859	Aeromonas	salmonicida		static		5276.0	6.0
4427	NC_017766	Streptomyces	hygroscopicus		static		164566.0	154.0
4428	NC_016972	Streptomyces	hygroscopicus		static		73285.0	73.0
4429	NC_015951	Streptomyces	violaceusniger		static		290055.0	265.0
4430	NC_015952	Streptomyces	violaceusniger		static		191151.0	222.0
4431	NZ_CP015083	Deinococcus	radiodurans		mosaic		203183.0	167.0
4432	NZ_CP015084	Deinococcus	radiodurans		mosaic		61707.0	55.0
4433	NZ_CP015522	Sphingomonas	sp.		static		74167.0	74.0
4434	NZ_CP015523	Sphingomonas	sp.		static		177851.0	182.0
4435	NC_015382	Burkholderia	gladioli		mosaic		276215.0	219.0
4436	NC_015377	Burkholderia	gladioli		static		129399.0	115.0
4437	NC_015378	Burkholderia	gladioli		static		128650.0	133.0
4438	NC_015383	Burkholderia	gladioli		mosaic		403586.0	340.0
4439	NC_015727	Cupriavidus	necator		mosaic		1499175.0	1299.0
4440	NC_015724	Cupriavidus	necator		mosaic		424140.0	375.0
4441	NC_010625	Paraburkholderia	phymatum		mosaic		1904893.0	1639.0
4442	NC_010627	Paraburkholderia	phymatum		mosaic		595108.0	527.0
4443	NC_016626	Burkholderia	sp.		mosaic		1951047.0	1773.0
4444	NC_016591	Burkholderia	sp.		mosaic		356263.0	395.0
4445	NC_016592	Burkholderia	sp.		static		115232.0	98.0
4446	NC_009475	Bradyrhizobium	sp.		static		228826.0	214.0
4447	NC_010631	Nostoc	punctiforme		mosaic		354564.0	287.0
4448	NC_010632	Nostoc	punctiforme		mosaic		254918.0	238.0
4449	NC_010630	Nostoc	punctiforme		mosaic		123028.0	89.0
4450	NC_010633	Nostoc	punctiforme		static		65940.0	54.0
4451	NC_010629	Nostoc	punctiforme		static		26419.0	26.0
4452	NC_019679	Rivularia	sp.		static		26836.0	24.0
4453	NC_019686	Rivularia	sp.		static		3474.0	3.0
4454	NC_010679	Paraburkholderia	phytofirmans		static		121122.0	155.0
4455	NC_008269	Rhodococcus	jostii		mosaic		1123075.0	1008.0
4456	NC_008270	Rhodococcus	jostii		mosaic		442536.0	409.0
4457	NC_008271	Rhodococcus	jostii		mosaic		332361.0	292.0
4458	NC_011892	Methylobacterium	nodulans		mosaic		487734.0	432.0
4459	NC_011887	Methylobacterium	nodulans		mosaic		458070.0	420.0
4460	NC_011893	Methylobacterium	nodulans		static		40463.0	44.0
4461	NC_011895	Methylobacterium	nodulans		static		37542.0	41.0
4462	NC_011888	Methylobacterium	nodulans		static		20286.0	16.0
4463	NC_011889	Methylobacterium	nodulans		static		12638.0	8.0
4464	NC_011890	Methylobacterium	nodulans		static		9829.0	8.0
4465	NZ_CP003950	Rhodococcus	opacus		static		172218.0	157.0
4466	NZ_CP003951	Rhodococcus	opacus		static		97588.0	84.0
4467	NZ_CP003952	Rhodococcus	opacus		mosaic		82420.0	75.0
4468	NZ_CP003953	Rhodococcus	opacus		static		62932.0	59.0
4469	NZ_CP003954	Rhodococcus	opacus		static		95987.0	85.0
4470	NZ_CP003955	Rhodococcus	opacus		static		45950.0	32.0
4471	NZ_CP003956	Rhodococcus	opacus		static		37095.0	33.0
4472	NZ_CP003957	Rhodococcus	opacus		static		158587.0	136.0
4473	NZ_CP003958	Rhodococcus	opacus		mosaic		39302.0	29.0
4474	NZ_CP007575	Streptomyces	albulus		static		12120.0	13.0
4475	NC_023497	Amycolatopsis	orientalis		static		33499.0	46.0
4476	NZ_AP014579	Burkholderia	sp.		mosaic		1438033.0	1319.0
4477	NZ_CP009319	Burkholderia	gladioli		static		26710.0	31.0
4478	NZ_CP009320	Burkholderia	gladioli		static		63573.0	50.0
4479	NZ_AP014580	Burkholderia	sp.		mosaic		495745.0	481.0
4480	NZ_CP009321	Burkholderia	gladioli		static		213090.0	190.0
4481	NZ_AP014581	Burkholderia	sp.		mosaic		194177.0	198.0
4482	NZ_CP003988	Streptomyces	sp.		static		237512.0	226.0
4483	NZ_CP008954	Amycolatopsis	japonica		static		92539.0	126.0
4484	NZ_CP010024	Paraburkholderia	fungorum		static		437218.0	422.0
4485	NZ_CP011665	Streptomyces	sp.		mosaic		529571.0	511.0
4486	NZ_CP011666	Streptomyces	sp.		mosaic		134791.0	104.0
4487	NZ_CP011667	Streptomyces	sp.		static		183653.0	169.0
4488	NZ_CP010408	Streptomyces	vietnamensis		static		286635.0	287.0
4489	NZ_CP012984	Burkholderia	cepacia		static		209807.0	172.0
4490	NZ_CP012748	Paraburkholderia	caribensis		static		2555069.0	2211.0
4491	NZ_CP012383	Streptomyces	ambofaciens		static		89658.0	121.0
4492	NZ_CP013104	Paraburkholderia	caribensis		static		2011268.0	1751.0
4493	NZ_CP013105	Paraburkholderia	caribensis		static		442452.0	345.0
4494	NZ_LN997843	Streptomyces	reticuli		static		812118.0	600.0
4495	NZ_LN997844	Streptomyces	reticuli		static		94102.0	99.0
4496	NZ_LN997845	Streptomyces	reticuli		static		76089.0	71.0
4497	NC_012848	Rhizobium	leguminosarum		static		828924.0	751.0
4498	NC_012858	Rhizobium	leguminosarum		static		660973.0	638.0
4499	NC_012853	Rhizobium	leguminosarum		static		516088.0	503.0
4500	NC_012852	Rhizobium	leguminosarum		static		350312.0	306.0
4501	NC_012854	Rhizobium	leguminosarum		static		294782.0	281.0
4502	NZ_CP015038	Burkholderia	cenocepacia		mosaic		199812.0	174.0
4503	NC_010553	Burkholderia	ambifaria		static		301592.0	266.0
4504	NC_014120	Burkholderia	sp.		static		489136.0	436.0
4505	NZ_CP014580	Burkholderia	sp.		static		271008.0	275.0
4506	NZ_CP014581	Burkholderia	sp.		static		137323.0	151.0
4507	NZ_CP014582	Burkholderia	sp.		static		22868.0	27.0
4508	NC_020050	Cylindrospermum	stagnale		static		431821.0	312.0
4509	NC_019744	Cylindrospermum	stagnale		static		154332.0	132.0
4510	NC_019758	Cylindrospermum	stagnale		static		20876.0	21.0
4511	NC_008385	Burkholderia	ambifaria		mosaic		43581.0	47.0
4512	NC_012723	Burkholderia	glumae		mosaic		133591.0	128.0
4513	NC_012718	Burkholderia	glumae		mosaic		141792.0	112.0
4514	NC_012720	Burkholderia	glumae		mosaic		141067.0	113.0
4515	NC_012725	Burkholderia	glumae		mosaic		134346.0	112.0
4516	NZ_AP014659	Bradyrhizobium	diazoefficiens		mosaic		212255.0	197.0
4517	NZ_AP014686	Bradyrhizobium	diazoefficiens		mosaic		210438.0	203.0
4518	NZ_AP014687	Bradyrhizobium	diazoefficiens		mosaic		136288.0	138.0
4519	NZ_AP014688	Bradyrhizobium	diazoefficiens		mosaic		136153.0	135.0
4520	NZ_CP013744	Streptomyces	sp.		static		288836.0	280.0
4521	NC_018696	Paraburkholderia	phenoliruptrix		mosaic		785419.0	684.0
4522	NC_010373	Methylobacterium	sp.		static		57951.0	54.0
4523	NC_010374	Methylobacterium	sp.		static		20019.0	11.0
4524	NC_014641	Achromobacter	xylosoxidans		mosaic		98156.0	99.0
4525	NC_014642	Achromobacter	xylosoxidans		static		247895.0	237.0
4526	NC_008545	Burkholderia	cenocepacia		static		164857.0	155.0
4527	NC_013855	Azospirillum	sp.		mosaic		1455109.0	1147.0
4528	NC_013856	Azospirillum	sp.		mosaic		723779.0	638.0
