locus	IS26
NG_047467.1	Absent
NZ_CP007568.1	Absent
NG_047471.1	Absent
NC_010922.1	Absent
NZ_CP017023.1	Absent
NC_008823.1	Absent
NC_019688.1	Absent
NZ_CP004289.1	Absent
NZ_CP015352.1	Absent
NC_017662.1	Absent
NZ_CP016585.1	Absent
NC_008386.1	Absent
NZ_CP012867.1	Absent
NC_016594.1	Absent
NC_004940.1	Absent
NZ_CP013942.1	Absent
NZ_CP005711.1	Absent
NC_017780.1	Absent
NZ_CP009430.1	Absent
NC_002093.1	Absent
NZ_CP009319.1	Absent
NC_020531.1	Absent
NC_019899.1	Absent
NZ_CP010320.1	Absent
NC_010070.1	Absent
NC_008271.1	Absent
NZ_CP011607.1	Absent
NZ_CP018464.1	Absent
NZ_CP007184.1	Absent
NC_004929.1	Absent
NG_047308.1	Absent
NC_017227.1	Absent
NZ_CP005914.1	Absent
NC_019777.1	Absent
NZ_CP015171.1	Absent
NG_047376.1	Absent
NZ_LT546646.1	Absent
NC_024963.1	Absent
NZ_CP010388.1	Absent
NZ_CP013492.1	Absent
NZ_CP009340.1	Absent
NC_019883.1	Absent
NZ_CP016206.1	Absent
NZ_CP013299.1	Absent
NZ_CP013340.1	Absent
NG_048556.1	Absent
NC_010884.1	Absent
NZ_CP015916.1	Absent
NG_048023.1	Absent
NZ_CP015784.1	Absent
NC_002125.1	Absent
NZ_CP014419.1	Absent
NC_021875.1	Absent
NZ_CP013176.1	Absent
NZ_CP010801.1	Absent
NC_003267.1	Absent
NZ_CP011046.1	Absent
NC_020263.1	Absent
NC_025096.1	Absent
NZ_CP013570.1	Absent
NZ_CP012922.1	Absent
NC_004653.1	Absent
NC_025008.1	Absent
NZ_CP018461.1	Absent
NC_010000.1	Absent
NC_012226.1	Absent
NZ_CP016509.1	Absent
NC_011783.1	Absent
NZ_CP011622.1	Absent
NC_013857.1	Absent
NC_012501.1	Absent
NZ_CP014519.1	Absent
NZ_CP016290.1	Absent
NZ_CP017022.1	Absent
NC_019000.1	Absent
NC_010941.1	Absent
NG_049605.1	Absent
NC_023280.1	Absent
NZ_CP005805.1	Absent
NZ_CP015111.1	Absent
NZ_CP013052.1	Absent
NC_010183.1	Absent
NG_047706.1	Absent
NZ_CP015351.1	Absent
NC_012215.1	Absent
NZ_CP006800.1	Absent
NC_013214.1	Absent
NZ_CP017026.1	Absent
NC_013541.1	Absent
NC_017590.1	Absent
NZ_CP010908.1	Absent
NG_048757.1	Absent
NC_014755.1	Absent
NC_016858.1	Absent
NZ_LN609303.1	Absent
NZ_CP010428.1	Absent
NZ_CP012161.1	Absent
NC_010906.1	Absent
NZ_CP018749.1	Absent
NC_012191.1	Absent
NZ_CP018723.1	Absent
NZ_CP004269.1	Absent
NC_021816.1	Absent
NC_013340.1	Absent
NC_017435.1	Absent
NC_007322.2	Absent
NZ_CP005794.1	Absent
NZ_AP014682.1	Absent
NZ_CP009295.1	Absent
NC_024971.1	Absent
NZ_CP013381.1	Absent
NZ_CP011933.1	Absent
NC_007111.1	Absent
NG_047747.1	Absent
NC_019885.1	Absent
NC_019372.1	Absent
NZ_CP014927.1	Absent
NG_048233.1	Absent
NC_021524.1	Absent
NZ_AP014866.1	Absent
NC_016939.1	Absent
NC_020991.1	Absent
NZ_CP011973.1	Absent
NZ_CP009882.1	Absent
NC_007142.1	Absent
NC_009807.1	Absent
NC_017211.1	Absent
NZ_CP013010.1	Absent
NC_023067.1	Absent
NC_012035.1	Absent
NC_012514.1	Absent
NC_018225.1	Absent
NZ_CP004394.1	Absent
NT_187153.1	Absent
NG_047599.1	Absent
NZ_CP012521.1	Absent
NC_011311.1	Absent
NZ_CP015089.1	Absent
NZ_CP016287.1	Absent
NC_017923.1	Absent
NC_015475.1	Absent
NZ_CP012686.1	Absent
NZ_CP012118.1	Absent
NC_020279.1	Absent
NZ_AP017307.1	Absent
NC_008379.1	Absent
NZ_CP010583.1	Absent
NC_016967.1	Absent
NC_005328.1	Absent
NZ_CP018950.1	Absent
NZ_CP015996.1	Absent
NZ_CP009263.1	Absent
NZ_CP010956.1	Absent
NZ_CP010326.1	Absent
NZ_CP010353.1	Absent
NZ_CP011291.1	Absent
NZ_CP012663.1	Absent
NC_008247.1	Absent
NC_006466.1	Absent
NC_011890.1	Absent
NG_048716.1	Absent
NZ_CP013575.1	Absent
NZ_CP013927.1	Absent
NC_023912.1	Absent
NC_009008.1	Absent
NC_007165.1	Absent
NC_001853.1	Absent
NZ_CP016498.1	Absent
NC_003457.1	Absent
NZ_CP007061.1	Absent
NC_010021.1	Absent
NZ_CP014814.1	Absent
NC_019740.1	Absent
NC_012165.1	Absent
NG_050162.1	Absent
NZ_CP010872.1	Absent
NZ_CP009936.1	Absent
NZ_CP004221.1	Absent
NZ_CP017127.1	Absent
NZ_CP004882.1	Absent
NZ_CP019013.1	Absent
NZ_CP009772.1	Absent
NC_010088.1	Absent
NZ_CP007485.1	Absent
NC_002002.1	Absent
NZ_CP009126.1	Absent
NC_017858.1	Absent
NZ_CP013054.1	Absent
NC_012503.1	Absent
NC_018992.1	Absent
NZ_CP014276.1	Absent
NZ_AP014822.1	Absent
NZ_CP017759.1	Absent
NC_019171.1	Absent
NC_012631.1	Absent
NZ_CP014434.1	Absent
NG_047439.1	Absent
NC_022536.1	Absent
NZ_CP011136.1	Absent
NG_048742.1	Absent
NC_011332.1	Absent
NZ_CP011590.1	Absent
NC_024985.1	Absent
NC_008259.1	Absent
NZ_CP019313.1	Absent
NZ_CP011665.1	Absent
NZ_CP011054.1	Absent
NZ_CP015322.1	Absent
NZ_CP012711.1	Absent
NC_010604.1	Absent
NZ_CP010056.1	Absent
NC_011735.1	Absent
NZ_CP013168.1	Absent
NZ_CP004164.1	Absent
NC_016982.1	Absent
NZ_AP012542.1	Absent
NC_007616.1	Absent
NC_010607.1	Absent
NZ_CP010011.1	Absent
NC_002136.1	Absent
NC_015407.1	Absent
NZ_CP017771.1	Absent
NZ_CP004244.1	Absent
NZ_CP014909.1	Absent
NC_004811.1	Absent
NC_024966.1	Absent
NZ_CP015357.1	Absent
NC_004852.1	Absent
NC_002088.1	Absent
NC_019185.1	Absent
NC_019309.1	Absent
NZ_CP017959.1	Absent
NC_020242.1	Absent
NC_019200.1	Absent
NC_016841.1	Absent
NZ_CP010856.1	Absent
NC_011878.1	Absent
NC_013770.1	Absent
NC_018146.1	Absent
NC_018512.1	Absent
NZ_CP013110.1	Absent
NZ_CP014100.1	Absent
NC_021157.1	Absent
NZ_CP016500.1	Absent
NC_017332.1	Absent
NZ_CP005828.1	Absent
NC_011342.1	Absent
NC_013783.1	Absent
NZ_CP015179.1	Absent
NC_011204.1	Absent
NC_032101.1	Absent
NC_017774.1	Absent
NC_010259.1	Absent
NZ_CP012279.1	Absent
NZ_CP019912.1	Absent
NZ_CP009673.1	Absent
NC_014030.1	Absent
NC_010727.1	Absent
NC_005307.1	Absent
NC_017468.1	Absent
NC_017081.1	Absent
NZ_CP011643.1	Absent
NZ_CP012595.1	Absent
NZ_CP004306.1	Absent
NG_049121.1	Absent
NC_008760.1	Absent
NZ_CP013736.1	Absent
NC_012245.1	Absent
NC_019054.1	Absent
NZ_CP013056.1	Absent
NC_019939.1	Absent
NZ_CP016582.1	Absent
NC_007593.1	Absent
NC_012885.1	Absent
NC_006529.1	Absent
NZ_CP009837.1	Absent
NZ_CP012707.1	Absent
NC_018503.1	Absent
NZ_CP011565.1	Absent
NZ_LN890286.1	Absent
NZ_CP006638.1	Absent
NZ_CP017845.1	Absent
NZ_HG917973.1	Absent
NC_025155.1	Absent
NZ_CP009011.1	Absent
NZ_CP011045.1	Absent
NC_004975.1	Absent
NC_021808.1	Absent
NZ_CP018339.1	Absent
NC_002608.1	Absent
NC_008566.1	Absent
NZ_CP008845.1	Absent
NC_019163.1	Absent
NC_013104.1	Absent
NZ_CP019909.1	Absent
NZ_CP015073.1	Absent
NZ_CP013037.1	Absent
NZ_CP010910.1	Absent
NZ_CP004148.1	Absent
NZ_CP013042.1	Absent
NC_008612.1	Absent
NZ_CP004303.1	Absent
NZ_CP007808.1	Absent
NZ_CP009572.1	Absent
NZ_CP019671.1	Absent
NC_015258.1	Absent
NC_007487.1	Absent
NC_013191.1	Absent
NC_018974.1	Absent
NC_020379.1	Absent
NC_002033.1	Absent
NC_007941.1	Absent
NC_019258.1	Absent
NZ_CP011615.1	Absent
NC_019147.1	Absent
NZ_CP007517.1	Absent
NC_007096.1	Absent
NC_018222.1	Absent
NC_012629.1	Absent
NC_004443.1	Absent
NZ_CP018293.1	Absent
NZ_CP011358.1	Absent
NZ_CP005770.1	Absent
NC_001751.1	Absent
NZ_CP018975.1	Absent
NZ_CP004408.1	Absent
NZ_CP017388.1	Absent
NZ_CP017439.1	Absent
NC_014495.1	Absent
NZ_CP005918.1	Absent
NC_009040.1	Absent
NC_020243.1	Absent
NC_004951.1	Absent
NC_019131.1	Absent
NC_025148.1	Absent
NZ_CP014886.1	Absent
NG_047665.1	Absent
NG_052252.1	Absent
NZ_CP014290.1	Absent
NC_010879.1	Absent
NC_028665.1	Absent
NC_019232.1	Absent
NC_019774.1	Absent
NZ_CP005726.1	Absent
NC_002128.1	Absent
NZ_CP007671.1	Absent
NC_013341.1	Absent
NT_187148.1	Absent
NZ_CP018235.1	Absent
NG_048588.1	Absent
NZ_CP004861.1	Absent
NZ_CP018738.1	Absent
NG_047353.1	Absent
NG_047329.1	Absent
NC_019312.1	Absent
NC_025014.1	Absent
NZ_CP007599.1	Absent
NG_048766.1	Absent
NZ_CP016451.1	Absent
NC_003273.1	Absent
NC_014811.1	Absent
NC_011364.1	Absent
NG_050302.1	Absent
NG_047536.1	Absent
NZ_CP009666.1	Absent
NZ_CP003957.1	Absent
NC_015632.1	Absent
NZ_CP014516.1	Absent
NZ_CP006031.1	Absent
NC_014124.1	Absent
NZ_CP009027.1	Absent
NZ_CP009647.1	Absent
NC_022963.1	Absent
NC_008243.1	Absent
NZ_CP011433.1	Absent
NZ_CP014612.1	Absent
NC_018988.1	Absent
NZ_CP013620.1	Absent
NZ_CP010385.1	Absent
NZ_CP005822.1	Absent
NZ_CP018666.1	Absent
NC_020270.1	Absent
NZ_CP012634.1	Absent
NZ_CP012368.1	Absent
NC_019558.1	Absent
NZ_CP007046.1	Absent
NZ_CP014893.1	Absent
NZ_CP017653.1	Absent
NC_008318.1	Absent
NZ_CP011588.1	Absent
NZ_CP015743.1	Absent
NC_011034.1	Absent
NC_025111.1	Absent
NC_025116.1	Absent
NC_019172.1	Absent
NC_019333.1	Absent
NC_017370.1	Absent
NC_007488.2	Absent
NZ_CP004236.1	Absent
NZ_CP013645.1	Absent
NZ_CP005703.1	Absent
NG_048203.1	Absent
NC_019681.1	Absent
NC_004527.1	Absent
NC_010868.1	Absent
NZ_CP019729.1	Absent
NC_013344.1	Absent
NG_050212.1	Absent
NC_019230.1	Absent
NZ_CP012183.1	Absent
NC_017127.1	Absent
NC_012656.1	Absent
NZ_CP015962.1	Absent
NC_017796.1	Absent
NC_000923.1	Absent
NC_025005.1	Absent
NZ_CP004396.1	Absent
NC_011732.1	Absent
NZ_CP010410.1	Absent
NG_047655.1	Absent
NC_016973.1	Absent
NZ_CP004233.1	Absent
NC_008539.1	Absent
NC_012513.1	Absent
NC_018972.1	Absent
NC_006366.1	Absent
NZ_CP017252.1	Absent
NZ_CP012632.1	Absent
NC_012529.1	Absent
NZ_CP011146.1	Absent
NZ_CP013541.1	Absent
NC_006509.1	Absent
NZ_CP010419.1	Absent
NG_048062.1	Absent
NC_009343.1	Absent
NC_005816.1	Absent
NZ_CP009252.1	Absent
NC_013299.1	Absent
NZ_CP011137.1	Absent
NC_009716.1	Absent
NZ_CP014361.1	Absent
NG_048086.1	Absent
NC_011743.1	Absent
NC_010679.1	Absent
NC_019938.1	Absent
NZ_CP006753.1	Absent
NZ_CP013641.1	Absent
NZ_CP013256.1	Absent
NC_010857.1	Absent
NC_020527.1	Absent
NC_011847.1	Absent
NC_024981.1	Absent
NC_022880.1	Absent
NC_004931.1	Absent
NC_009435.1	Absent
NC_018686.1	Absent
NT_187142.1	Absent
NZ_CP009024.1	Absent
NC_020961.1	Absent
NC_012811.1	Absent
NZ_CP004312.1	Absent
NG_048018.1	Absent
NC_020953.1	Absent
NZ_CP013166.1	Absent
NC_012150.1	Absent
NC_017669.1	Absent
NC_013537.1	Absent
NC_020261.1	Absent
NZ_CP018940.1	Absent
NZ_CP015486.1	Absent
NC_019019.1	Absent
NC_009932.1	Absent
NC_001904.1	Absent
NC_013513.1	Absent
NC_013657.1	Absent
NG_048929.1	Absent
NC_003789.1	Absent
NC_006389.1	Absent
NC_009621.1	Absent
NC_010898.1	Absent
NC_014383.1	Absent
NZ_CP013775.1	Absent
NC_007615.1	Absent
NC_017019.1	Absent
NZ_CP014964.1	Absent
NG_047797.1	Absent
NZ_CP013750.1	Absent
NZ_CP013061.1	Absent
NC_019982.1	Absent
NC_014911.1	Absent
NC_010330.1	Absent
NC_019394.1	Absent
NC_012161.1	Absent
NC_013954.1	Absent
NZ_CP005687.1	Absent
NC_009671.1	Absent
NZ_CP011866.1	Absent
NC_019268.1	Absent
NC_004832.1	Absent
NC_016040.1	Absent
NZ_CP008991.1	Absent
NC_018990.1	Absent
NZ_CP012886.2	Absent
NZ_CP016577.1	Absent
NC_007187.1	Absent
NZ_CP013324.1	Absent
NC_007769.1	Absent
NZ_CP018952.1	Absent
NZ_CP013173.1	Absent
NZ_AP014865.1	Absent
NZ_CP015806.1	Absent
NG_050208.1	Absent
NZ_CP012866.1	Absent
NZ_CP018327.1	Absent
NZ_CP015993.1	Absent
NZ_CP015021.1	Absent
NZ_CP013640.1	Absent
NG_050093.1	Absent
NC_006994.1	Absent
NC_017199.1	Absent
NC_020290.1	Absent
NC_001848.1	Absent
NZ_CP015862.1	Absent
NG_052145.1	Absent
NZ_CP013486.1	Absent
NC_019385.1	Absent
NC_011248.1	Absent
NZ_CP013581.1	Absent
NC_023329.1	Absent
NC_018680.1	Absent
NC_017345.1	Absent
NC_010929.1	Absent
NZ_CP017187.1	Absent
NZ_CP012710.1	Absent
NZ_CP011275.1	Absent
NC_009619.1	Absent
NG_047533.1	Absent
NC_014627.1	Absent
NZ_CP012627.1	Absent
NZ_AP014955.1	Absent
NZ_CP015301.1	Absent
NZ_CP003714.1	Absent
NC_010626.1	Absent
NG_047810.1	Absent
NC_015845.1	Absent
NC_017239.1	Absent
NZ_CP013073.1	Absent
NC_019370.1	Absent
NC_013293.1	Absent
NC_018994.1	Absent
NC_002133.1	Absent
NZ_CP019033.1	Absent
NC_013453.1	Absent
NZ_CP017189.1	Absent
NZ_CP010087.1	Absent
NZ_CP004364.1	Absent
NZ_CP019129.1	Absent
NC_021518.1	Absent
NZ_HG813250.1	Absent
NZ_CP011544.1	Absent
NC_023139.1	Absent
NZ_CP007616.1	Absent
NC_017488.1	Absent
NC_019990.1	Absent
NC_002137.1	Absent
NC_019071.1	Absent
NC_025172.1	Absent
NZ_CP004239.1	Absent
NZ_CP015328.1	Absent
NC_019201.1	Absent
NZ_CP008709.1	Absent
NC_013781.1	Absent
NC_017169.1	Absent
NC_007505.1	Absent
NC_004984.1	Absent
NZ_CP013764.1	Absent
NZ_CP010815.1	Absent
NC_002056.1	Absent
NZ_CP011283.1	Absent
NZ_CP019182.1	Absent
NC_004535.1	Absent
NZ_CP015072.1	Absent
NZ_CP012101.1	Absent
NZ_CP005909.1	Absent
NC_017284.1	Absent
NC_006959.1	Absent
NZ_CP013634.1	Absent
NZ_CP010382.1	Absent
NZ_CP016173.1	Absent
NC_016806.1	Absent
NZ_CP014510.1	Absent
NZ_CP018265.1	Absent
NC_018493.1	Absent
NC_017793.1	Absent
NC_007926.1	Absent
NZ_CP019796.1	Absent
NC_017237.1	Absent
NC_011078.1	Absent
NZ_CP011453.2	Absent
NC_019224.1	Absent
NC_004949.1	Absent
NZ_CP010780.1	Absent
NC_011966.1	Absent
NC_015741.1	Absent
NZ_CP014882.1	Absent
NC_004847.1	Absent
NZ_CP013250.1	Absent
NC_004981.2	Absent
NC_013945.1	Absent
NG_050480.1	Absent
NZ_CP011133.1	Absent
NC_012260.1	Absent
NC_009837.1	Absent
NZ_CP019309.1	Absent
NZ_CP005768.1	Absent
NG_049577.1	Absent
NC_005329.1	Absent
NT_187159.1	Absent
NZ_CP016871.1	Absent
NC_002135.1	Absent
NG_048090.1	Absent
NC_019290.1	Absent
NC_018689.1	Absent
NC_005241.1	Absent
NZ_LN907829.1	Absent
NG_050262.1	Absent
NC_011339.1	Absent
NC_022649.1	Absent
NC_023325.1	Absent
NC_023328.1	Absent
NZ_CP015197.1	Absent
NZ_CP009035.1	Absent
NG_047919.1	Absent
NZ_CP014271.1	Absent
NC_019980.1	Absent
NC_022602.1	Absent
NC_023140.1	Absent
NC_019848.2	Absent
NC_009426.1	Absent
NZ_CP016445.1	Absent
NZ_CP019128.1	Absent
NC_022599.1	Absent
NZ_CP014821.1	Absent
NG_048115.1	Absent
NC_017103.1	Absent
NC_001384.1	Absent
NC_015184.1	Absent
NC_001764.1	Absent
NZ_CP011395.1	Absent
NZ_CP018266.1	Absent
NC_017475.1	Absent
NZ_AP014580.1	Absent
NC_008010.2	Absent
NZ_CP014624.1	Absent
NZ_CP017618.1	Absent
NC_020057.1	Absent
NC_012183.1	Absent
NC_014535.1	Absent
NG_047857.1	Absent
NZ_CP009039.1	Absent
NZ_CP018230.1	Absent
NC_004833.1	Absent
NZ_CP018769.1	Absent
NG_047435.1	Absent
NG_051437.1	Absent
NC_025133.1	Absent
NC_012944.1	Absent
NC_003922.1	Absent
NC_015417.1	Absent
NZ_CP013343.1	Absent
NC_013382.1	Absent
NC_021730.1	Absent
NZ_CP004337.1	Absent
NC_003241.1	Absent
NC_019734.1	Absent
NC_010504.1	Absent
NZ_CP012273.1	Absent
NZ_CP004153.1	Absent
NG_052433.1	Absent
NC_012267.1	Absent
NZ_CP004315.1	Absent
NC_020538.1	Absent
NZ_CP009995.1	Absent
NC_009933.1	Absent
NC_015665.1	Absent
NC_013856.1	Absent
NZ_CP007513.1	Absent
NZ_CP019330.1	Absent
NZ_CP015170.1	Absent
NC_015686.1	Absent
NZ_CP014535.1	Absent
NZ_CP011627.1	Absent
NZ_AP014830.1	Absent
NZ_CP004226.1	Absent
NC_025169.1	Absent
NZ_CP006375.1	Absent
NZ_CP010181.1	Absent
NC_007190.1	Absent
NG_048187.1	Absent
NC_012790.1	Absent
NC_017420.1	Absent
NC_011073.1	Absent
NG_047799.1	Absent
NZ_CP010021.1	Absent
NC_023057.1	Absent
NZ_CP009334.1	Absent
NZ_CP009722.1	Absent
NZ_CP010970.1	Absent
NZ_CP014895.1	Absent
NZ_CP012977.1	Absent
NC_001520.1	Absent
NC_002798.1	Absent
NZ_CP006795.1	Absent
NC_019957.1	Absent
NZ_LN868942.1	Absent
NZ_CP012558.1	Absent
NZ_CP018944.1	Absent
NC_000958.1	Absent
NC_010905.1	Absent
NZ_CP018067.1	Absent
NZ_CP005735.1	Absent
NC_003114.1	Absent
NC_012847.1	Absent
NC_023322.1	Absent
NC_022540.1	Absent
NC_006824.1	Absent
NZ_CP005712.1	Absent
NZ_CP011066.1	Absent
NC_017411.1	Absent
NZ_CP009326.1	Absent
NC_020383.1	Absent
NZ_CP011808.2	Absent
NC_020393.1	Absent
NZ_CP010225.1	Absent
NZ_CP015618.1	Absent
NC_015187.1	Absent
NC_003134.1	Absent
NZ_CP017988.1	Absent
NG_048539.1	Absent
NC_017157.1	Absent
NC_011396.1	Absent
NC_011758.1	Absent
NC_013128.1	Absent
NZ_CP014746.1	Absent
NZ_CP007052.1	Absent
NZ_CP015867.1	Absent
NC_013393.1	Absent
NZ_CP014171.1	Absent
NZ_CP011608.1	Absent
NZ_CP010312.1	Absent
NZ_CP013266.1	Absent
NC_023055.1	Absent
NZ_CP015063.1	Absent
NC_014736.1	Absent
NZ_CP018971.1	Absent
NZ_CP015755.1	Absent
NC_017471.1	Absent
NC_019231.1	Absent
NZ_CP010173.1	Absent
NC_020266.1	Absent
NC_010633.1	Absent
NZ_CP015942.1	Absent
NC_010543.1	Absent
NZ_CP009903.1	Absent
NC_018984.1	Absent
NZ_CP008721.1	Absent
NC_009034.1	Absent
NZ_CP018993.1	Absent
NC_019287.1	Absent
NC_011650.1	Absent
NC_011973.1	Absent
NZ_CP007735.1	Absent
NZ_LT670852.1	Absent
NG_048629.1	Absent
NC_010418.1	Absent
NZ_CP011540.1	Absent
NG_049137.1	Absent
NC_011843.1	Absent
NC_021188.1	Absent
NC_010697.1	Absent
NZ_CP013161.1	Absent
NC_013352.1	Absent
NZ_CP004872.1	Absent
NC_019742.1	Absent
NZ_CP006583.1	Absent
NC_012152.1	Absent
NC_000938.1	Absent
NZ_CP015835.1	Absent
NC_007594.1	Absent
NZ_CP012659.1	Absent
NC_016079.1	Absent
NC_015560.1	Absent
NZ_CP018875.1	Absent
NZ_CP011865.1	Absent
NC_006978.1	Absent
NC_019380.1	Absent
NZ_CP014251.1	Absent
NZ_CP016831.1	Absent
NC_015951.1	Absent
NZ_CP014923.1	Absent
NC_019898.1	Absent
NZ_CP015921.1	Absent
NC_019151.1	Absent
NC_008741.1	Absent
NC_011850.1	Absent
NZ_CP019180.1	Absent
NZ_CP014003.1	Absent
NG_049108.1	Absent
NC_012088.1	Absent
NZ_CP009698.1	Absent
NC_012692.1	Absent
NZ_CP009845.1	Absent
NC_017071.1	Absent
NC_004446.1	Absent
NC_014110.1	Absent
NC_021156.1	Absent
NZ_CP016897.1	Absent
NZ_CP007001.1	Absent
NC_024994.1	Absent
NZ_CP013502.1	Absent
NC_011250.1	Absent
NC_019247.1	Absent
NZ_CP011293.1	Absent
NZ_CP009908.1	Absent
NC_010844.1	Absent
NC_017460.1	Absent
NC_019888.1	Absent
NZ_CP015813.1	Absent
NC_003065.3	Absent
NG_048097.1	Absent
NG_049339.1	Absent
NZ_CP010270.1	Absent
NC_023334.1	Absent
NZ_CP016891.1	Absent
NG_048048.1	Absent
NZ_CP006797.1	Absent
NC_015658.1	Absent
NZ_CP005750.1	Absent
NC_016596.1	Absent
NC_022993.1	Absent
NG_048156.1	Absent
NZ_CP012014.1	Absent
NZ_CP007611.1	Absent
NC_023071.1	Absent
NZ_CP010091.1	Absent
NC_011864.1	Absent
NC_009702.1	Absent
NC_011368.1	Absent
NC_013742.1	Absent
NZ_HG977528.1	Absent
NG_048990.1	Absent
NC_025132.1	Absent
NC_011079.1	Absent
NC_020062.1	Absent
NZ_CP017077.1	Absent
NC_006135.1	Absent
NZ_CP014807.1	Absent
NC_017263.1	Absent
NZ_CP016518.1	Absent
NZ_CP014483.1	Absent
NZ_CP018433.1	Absent
NZ_CP009834.1	Absent
NC_017810.1	Absent
NC_002101.1	Absent
NZ_CP012290.1	Absent
NZ_CP005784.1	Absent
NZ_CP013713.1	Absent
NZ_CP016838.1	Absent
NZ_CP013606.1	Absent
NC_007093.1	Absent
NZ_CP017997.1	Absent
NC_004164.2	Absent
NC_025024.1	Absent
NZ_CP009321.1	Absent
NZ_CP018423.1	Absent
NC_012628.1	Absent
NC_023284.1	Absent
NZ_CP007552.1	Absent
NC_010333.1	Absent
NZ_CP002698.1	Absent
NC_006393.1	Absent
NZ_CP012348.1	Absent
NC_018999.1	Absent
NZ_CP012032.1	Absent
NC_015860.1	Absent
NZ_CP010877.1	Absent
NC_012169.1	Absent
NZ_CP005825.1	Absent
NZ_CP004160.1	Absent
NZ_CP013995.1	Absent
NZ_CP013512.1	Absent
NC_019679.1	Absent
NZ_CP019298.1	Absent
NC_015068.1	Absent
NG_048429.1	Absent
NC_017060.1	Absent
NC_016115.1	Absent
NZ_CP009990.1	Absent
NC_004773.1	Absent
NG_047901.1	Absent
NZ_CP009293.1	Absent
NZ_CP017302.1	Absent
NZ_CP009589.1	Absent
NC_010555.1	Absent
NZ_CP014644.1	Absent
NC_019132.1	Absent
NC_023056.1	Absent
NZ_CP014640.1	Absent
NC_022126.1	Absent
NC_011227.1	Absent
NC_009930.1	Absent
NC_013175.1	Absent
NC_010097.1	Absent
NZ_CP010217.1	Absent
NC_011521.1	Absent
NZ_CP004307.1	Absent
NZ_CP014626.1	Absent
NZ_CP014289.1	Absent
NZ_CP009348.1	Absent
NZ_CP016583.1	Absent
NZ_CP018144.1	Absent
NZ_CP019438.1	Absent
NC_013091.1	Absent
NZ_CP019039.1	Absent
NC_017401.1	Absent
NG_047279.1	Absent
NC_010419.1	Absent
NG_052240.1	Absent
NC_007504.1	Absent
NZ_CP010096.1	Absent
NG_050105.1	Absent
NC_010851.1	Absent
NC_004923.1	Absent
NC_020228.1	Absent
NZ_CP016336.1	Absent
NZ_CP009904.1	Absent
NC_016597.1	Absent
NZ_CP014877.1	Absent
NG_049126.1	Absent
NG_049118.1	Absent
NZ_CP008815.1	Absent
NZ_CP007038.1	Absent
NZ_LT599050.1	Absent
NZ_CP012684.1	Absent
NZ_CP012203.1	Absent
NC_019146.1	Absent
NC_009596.1	Absent
NZ_CP016765.1	Absent
NC_007791.1	Absent
NZ_CP014079.1	Absent
NC_019298.1	Absent
NZ_CP016901.1	Absent
NC_021523.1	Absent
NC_025124.1	Absent
NC_014466.1	Absent
NZ_CP005868.1	Absent
NC_007491.1	Absent
NZ_CP015334.1	Absent
NC_010630.1	Absent
NZ_CP007138.1	Absent
NZ_CP018777.1	Absent
NC_004952.1	Absent
NZ_CP005811.1	Absent
NZ_CP019568.1	Absent
NG_049305.1	Absent
NC_020963.1	Absent
NZ_CP014627.1	Absent
NC_020130.1	Absent
NC_014172.1	Absent
NC_021496.1	Absent
NC_020884.1	Absent
NC_017140.1	Absent
NG_049340.1	Absent
NG_047335.1	Absent
NZ_CP006666.1	Absent
NC_001776.1	Absent
NG_048001.1	Absent
NZ_CP007614.1	Absent
NG_048856.1	Absent
NZ_CP019319.1	Absent
NC_019317.1	Absent
NC_010856.1	Absent
NC_019430.1	Absent
NC_014131.1	Absent
NZ_CP015719.1	Absent
NC_016773.1	Absent
NC_010849.1	Absent
NC_014331.1	Absent
NZ_CP019193.1	Absent
NC_015603.1	Absent
NC_008500.1	Absent
NZ_CP011282.1	Absent
NZ_CP009044.1	Absent
NC_021158.1	Absent
NC_010158.1	Absent
NZ_CP009030.1	Absent
NC_017339.1	Absent
NC_021279.1	Absent
NC_018957.1	Absent
NC_012516.1	Absent
NC_012232.1	Absent
NC_010982.1	Absent
NC_013409.1	Absent
NC_013859.1	Absent
NZ_CP014906.1	Absent
NC_006675.1	Absent
NC_013448.1	Absent
NC_004445.1	Absent
NC_014254.1	Absent
NZ_CP010420.1	Absent
NG_050278.1	Absent
NG_050238.1	Absent
NC_022650.1	Absent
NC_005323.1	Absent
NC_016936.1	Absent
NC_024964.1	Absent
NC_011028.1	Absent
NC_017472.1	Absent
NZ_CP017137.1	Absent
NZ_CP008993.1	Absent
NC_007097.1	Absent
NC_023908.1	Absent
NZ_CP004155.1	Absent
NZ_CP012491.1	Absent
NZ_CP012876.1	Absent
NC_019387.1	Absent
NC_008460.1	Absent
NZ_CP014393.1	Absent
NZ_CP018281.1	Absent
NZ_CP004171.1	Absent
NZ_CP009299.1	Absent
NC_021910.1	Absent
NZ_LN868940.1	Absent
NG_051911.1	Absent
NZ_CP017135.1	Absent
NZ_CP010001.1	Absent
NC_008691.1	Absent
NC_004334.1	Absent
NC_019369.1	Absent
NC_010608.1	Absent
NT_187152.1	Absent
NC_022875.1	Absent
NZ_CP013501.1	Absent
NG_048982.1	Absent
NC_016817.1	Absent
NC_012155.1	Absent
NZ_LN999836.1	Absent
NZ_CP010418.1	Absent
NC_021664.2	Absent
NC_007184.1	Absent
NC_008757.1	Absent
NC_025042.1	Absent
NC_016635.1	Absent
